reason_category,usage_line
If-else Reasoning,236
If-else Reasoning,241
If-else Reasoning,245
If-else Reasoning,252
Define Stop Criteria,257
If-else Reasoning,259
If-else Reasoning,267
If-else Reasoning,273
Define Stop Criteria,276
If-else Reasoning,278
If-else Reasoning,287
If-else Reasoning,289
If-else Reasoning,292
Define Stop Criteria,300
Define Stop Criteria,311
If-else Reasoning,321
If-else Reasoning,323
If-else Reasoning,326
Super_Call,357
Define Stop Criteria,375
Super_Call,407
Define Stop Criteria,425
If-else Reasoning,487
Define Stop Criteria,498
If-else Reasoning,532
Define Stop Criteria,556
Define Stop Criteria,557
If-else Reasoning,559
Define Stop Criteria,576
If-else Reasoning,649
If-else Reasoning,673
Define Stop Criteria,719
Define Stop Criteria,720
Define Stop Criteria,764
Define Stop Criteria,765
If-else Reasoning,834
If-else Reasoning,892
If-else Reasoning,969
If-else Reasoning,1044
Define Stop Criteria,1132
Define Stop Criteria,1133
Define Stop Criteria,1144
Define Stop Criteria,1145
Define Stop Criteria,1196
Define Stop Criteria,1197
Define Stop Criteria,1198
Define Stop Criteria,1216
Define Stop Criteria,1217
Define Stop Criteria,1219
Define Stop Criteria,1221
Define Stop Criteria,1222
Define Stop Criteria,1252
Define Stop Criteria,1253
Define Stop Criteria,1255
Define Stop Criteria,1257
Define Stop Criteria,1258
Define Stop Criteria,1308
Define Stop Criteria,1309
Define Stop Criteria,1310
Define Stop Criteria,1328
Define Stop Criteria,1329
Define Stop Criteria,1331
Define Stop Criteria,1333
If-else Reasoning,1388
If-else Reasoning,1432
If-else Reasoning,1466
If-else Reasoning,1511
Define Stop Criteria,1612
Define Stop Criteria,1654
Define Stop Criteria,1666
Define Stop Criteria,1682
If-else Reasoning,1686
Define Stop Criteria,1689
Define Stop Criteria,1707
If-else Reasoning,1711
Define Stop Criteria,1714
Define Stop Criteria,1733
If-else Reasoning,1737
Define Stop Criteria,1740
Define Stop Criteria,1758
Define Stop Criteria,1759
Define Stop Criteria,1773
Define Stop Criteria,1775
Define Stop Criteria,1790
Define Stop Criteria,1792
