name,usage_line,def_line,scope_type,range_type
IDoubleVector,12,59,interfaces,Long-Range
addMyselfToHim,17,68,methods,Long-Range
getItem,18,77,methods,Long-Range
setItem,19,109,methods,Long-Range
getLength,20,116,methods,Long-Range
addToAll,21,84,methods,Long-Range
l1Norm,22,123,methods,Long-Range
normalize,23,99,methods,Long-Range
toString,28,130,methods,Long-Range
i,32,32,locals,Short-Range
getLength,32,20,methods,Medium-Range
getItem,33,18,methods,Medium-Range
i,33,32,locals,Short-Range
i,35,32,locals,Short-Range
returnVal,36,31,locals,Short-Range
returnVal,38,36,locals,Short-Range
curItem,38,33,locals,Short-Range
returnVal,40,31,locals,Short-Range
returnVal,41,40,locals,Short-Range
getRoundedItem,50,93,methods,Long-Range
Math,51,3,libraries,Long-Range
getItem,51,18,methods,Long-Range
whichOne,51,50,locals,Short-Range
message,188,187,locals,Short-Range
ADoubleVector,197,12,classes,Long-Range
len,216,213,locals,Short-Range
myData,216,200,globals,Medium-Range
i,219,219,locals,Short-Range
len,219,213,locals,Short-Range
myData,220,216,globals,Short-Range
i,220,219,locals,Short-Range
initialValue,224,213,locals,Medium-Range
baselineData,224,204,globals,Medium-Range
getLength,227,20,methods,Long-Range
myData,228,200,globals,Medium-Range
l1Norm,234,22,methods,Long-Range
i,236,236,locals,Short-Range
myData,236,200,globals,Long-Range
Math,237,3,libraries,Long-Range
myData,237,200,globals,Long-Range
i,237,236,locals,Short-Range
baselineData,237,204,globals,Long-Range
returnVal,237,235,locals,Short-Range
returnVal,239,235,locals,Short-Range
normalize,242,23,methods,Long-Range
l1Norm,243,234,methods,Short-Range
i,244,244,locals,Short-Range
myData,244,200,globals,Long-Range
myData,245,200,globals,Long-Range
i,245,244,locals,Short-Range
baselineData,246,204,globals,Long-Range
trueVal,246,245,locals,Short-Range
trueVal,247,246,locals,Short-Range
total,247,243,locals,Short-Range
baselineData,247,204,globals,Long-Range
myData,247,200,globals,Long-Range
i,247,244,locals,Short-Range
total,249,243,locals,Short-Range
baselineData,249,204,globals,Long-Range
addMyselfToHim,252,17,methods,Long-Range
getLength,254,227,methods,Medium-Range
addToThisOne,254,252,locals,Short-Range
OutOfBoundsException,255,184,classes,Long-Range
i,259,259,locals,Short-Range
myData,259,200,globals,Long-Range
addToThisOne,260,252,locals,Short-Range
i,260,259,locals,Short-Range
myData,261,200,globals,Long-Range
i,261,259,locals,Short-Range
value,261,260,locals,Short-Range
addToThisOne,262,252,locals,Short-Range
i,262,259,locals,Short-Range
value,262,261,locals,Short-Range
addToThisOne,264,252,locals,Medium-Range
baselineData,264,204,globals,Long-Range
getItem,267,18,methods,Long-Range
whichOne,269,267,locals,Short-Range
myData,269,200,globals,Long-Range
OutOfBoundsException,270,184,classes,Long-Range
myData,273,200,globals,Long-Range
whichOne,273,267,locals,Short-Range
baselineData,273,204,globals,Long-Range
setItem,276,19,methods,Long-Range
whichOne,278,276,locals,Short-Range
myData,278,200,globals,Long-Range
OutOfBoundsException,279,184,classes,Long-Range
setToMe,282,276,locals,Short-Range
baselineData,282,204,globals,Long-Range
myData,282,200,globals,Long-Range
whichOne,282,276,locals,Short-Range
addToAll,285,21,methods,Long-Range
addMe,286,285,locals,Short-Range
baselineData,286,204,globals,Long-Range
ADoubleVector,297,12,classes,Long-Range
len,318,317,locals,Short-Range
myLength,318,307,globals,Medium-Range
initialValue,319,317,locals,Short-Range
baselineValue,319,304,globals,Medium-Range
nonEmptyEntries,320,300,globals,Medium-Range
normalize,323,23,methods,Long-Range
l1Norm,325,22,methods,Long-Range
nonEmptyEntries,326,300,globals,Medium-Range
el,327,326,locals,Short-Range
el,328,326,locals,Short-Range
value,329,327,locals,Short-Range
baselineValue,329,304,globals,Medium-Range
total,329,325,locals,Short-Range
newValue,330,329,locals,Short-Range
baselineValue,330,304,globals,Medium-Range
total,330,325,locals,Short-Range
value,330,327,locals,Short-Range
nonEmptyEntries,331,300,globals,Long-Range
position,331,328,locals,Short-Range
value,331,330,locals,Short-Range
total,334,325,locals,Short-Range
baselineValue,334,304,globals,Medium-Range
l1Norm,337,22,methods,Long-Range
nonEmptyEntries,342,300,globals,Long-Range
Math,343,3,libraries,Long-Range
el,343,342,locals,Short-Range
baselineValue,343,304,globals,Long-Range
returnVal,343,340,locals,Short-Range
nonEmptyEls,344,341,locals,Short-Range
Math,348,3,libraries,Long-Range
myLength,348,307,globals,Long-Range
nonEmptyEls,348,341,locals,Short-Range
baselineValue,348,304,globals,Long-Range
returnVal,348,340,locals,Short-Range
returnVal,349,348,locals,Short-Range
addMyselfToHim,352,17,methods,Long-Range
getLength,354,20,methods,Long-Range
addToHim,354,352,locals,Short-Range
OutOfBoundsException,355,184,classes,Long-Range
nonEmptyEntries,359,300,globals,Long-Range
el,360,359,locals,Short-Range
el,361,359,locals,Short-Range
addToHim,362,352,locals,Short-Range
curIndex,362,361,locals,Short-Range
myVal,362,360,locals,Short-Range
addToHim,363,352,locals,Medium-Range
curIndex,363,361,locals,Short-Range
myVal,363,362,locals,Short-Range
addToHim,367,352,locals,Medium-Range
baselineValue,367,304,globals,Long-Range
addToAll,370,21,methods,Long-Range
addMe,371,370,locals,Short-Range
baselineValue,371,304,globals,Long-Range
getItem,374,18,methods,Long-Range
whichOne,377,374,locals,Short-Range
myLength,377,307,globals,Long-Range
OutOfBoundsException,378,184,classes,Long-Range
nonEmptyEntries,382,300,globals,Long-Range
whichOne,382,374,locals,Short-Range
myVal,383,382,locals,Short-Range
baselineValue,384,304,globals,Long-Range
myVal,386,382,locals,Short-Range
baselineValue,386,304,globals,Long-Range
setItem,390,19,methods,Long-Range
whichOne,393,390,locals,Short-Range
myLength,393,307,globals,Long-Range
OutOfBoundsException,394,184,classes,Long-Range
nonEmptyEntries,398,300,globals,Long-Range
whichOne,398,390,locals,Short-Range
setToMe,398,390,locals,Short-Range
baselineValue,398,304,globals,Long-Range
getLength,401,20,methods,Long-Range
myLength,402,307,globals,Long-Range
TestCase,413,1,libraries,Long-Range
observed,426,425,locals,Short-Range
goal,426,425,locals,Short-Range
Math,426,3,libraries,Long-Range
observed,427,425,locals,Short-Range
goal,427,425,locals,Short-Range
Math,427,3,libraries,Long-Range
pos,428,425,locals,Short-Range
observed,429,425,locals,Short-Range
pos,429,425,locals,Short-Range
goal,429,425,locals,Short-Range
observed,431,425,locals,Short-Range
goal,431,425,locals,Short-Range
Random,444,2,libraries,Long-Range
pos,449,448,locals,Short-Range
testMe,449,438,locals,Medium-Range
rng,452,444,locals,Short-Range
pos,453,448,locals,Short-Range
testMe,459,438,locals,Medium-Range
pos,459,448,locals,Medium-Range
testMe,460,438,locals,Medium-Range
pos,460,448,locals,Medium-Range
current,460,459,locals,Short-Range
pos,461,448,locals,Medium-Range
total,461,447,locals,Medium-Range
pos,463,448,locals,Medium-Range
testMe,468,438,locals,Medium-Range
init,468,438,locals,Medium-Range
total,468,461,locals,Short-Range
checkCloseEnough,469,425,methods,Long-Range
testMe,469,438,locals,Long-Range
expected,469,468,locals,Short-Range
expected,470,468,locals,Short-Range
allMyVectors,479,477,locals,Short-Range
i,482,482,locals,Short-Range
allMyVectors,482,477,locals,Short-Range
getLength,482,20,methods,Long-Range
i,484,482,locals,Short-Range
numVecs,484,479,locals,Short-Range
allMyVectors,486,477,locals,Short-Range
whichOne,486,484,locals,Short-Range
setItem,486,19,methods,Long-Range
i,486,482,locals,Short-Range
whichOne,488,484,locals,Short-Range
i,494,494,locals,Short-Range
allMyVectors,494,477,locals,Medium-Range
getLength,494,20,methods,Long-Range
i,496,494,locals,Short-Range
numVecs,496,479,locals,Medium-Range
j,497,497,locals,Short-Range
numVecs,497,479,locals,Medium-Range
whichOne,499,496,locals,Short-Range
