reason_category,usage_line
Define Stop Criteria,32
If-else Reasoning,35
Define Stop Criteria,219
Define Stop Criteria,236
Define Stop Criteria,244
If-else Reasoning,254
Define Stop Criteria,259
If-else Reasoning,269
If-else Reasoning,278
Define Stop Criteria,326
Define Stop Criteria,342
If-else Reasoning,354
Define Stop Criteria,359
If-else Reasoning,377
If-else Reasoning,383
If-else Reasoning,393
If-else Reasoning,426
If-else Reasoning,428
Define Stop Criteria,449
If-else Reasoning,452
Define Stop Criteria,482
Define Stop Criteria,494
Define Stop Criteria,497
If-else Reasoning,499
Define Stop Criteria,522
Define Stop Criteria,547
Define Stop Criteria,555
Define Stop Criteria,610
Define Stop Criteria,624
Define Stop Criteria,638
Define Stop Criteria,653
Define Stop Criteria,707
Define Stop Criteria,718
Define Stop Criteria,798
Define Stop Criteria,803
Define Stop Criteria,806
Define Stop Criteria,818
Define Stop Criteria,827
