reason_category,usage_line
If-else Reasoning,211
Define Stop Criteria,215
If-else Reasoning,216
If-else Reasoning,226
If-else Reasoning,236
Define Stop Criteria,238
If-else Reasoning,239
Define Stop Criteria,251
If-else Reasoning,279
If-else Reasoning,316
Define Stop Criteria,338
If-else Reasoning,378
Define Stop Criteria,389
If-else Reasoning,391
Define Stop Criteria,403
If-else Reasoning,404
Define Stop Criteria,482
If-else Reasoning,485
If-else Reasoning,495
If-else Reasoning,500
Define Stop Criteria,511
If-else Reasoning,513
Define Stop Criteria,525
If-else Reasoning,526
If-else Reasoning,564
If-else Reasoning,583
Define Stop Criteria,625
Define Stop Criteria,626
If-else Reasoning,636
Define Stop Criteria,657
Define Stop Criteria,664
If-else Reasoning,665
If-else Reasoning,676
Define Stop Criteria,681
If-else Reasoning,682
If-else Reasoning,743
If-else Reasoning,786
If-else Reasoning,823
Define Stop Criteria,826
If-else Reasoning,827
Define Stop Criteria,838
Define Stop Criteria,842
If-else Reasoning,865
Define Stop Criteria,866
Define Stop Criteria,872
Define Stop Criteria,888
Define Stop Criteria,891
Define Stop Criteria,904
Define Stop Criteria,907
If-else Reasoning,923
Define Stop Criteria,924
Define Stop Criteria,930
Define Stop Criteria,946
Define Stop Criteria,949
Define Stop Criteria,962
Define Stop Criteria,965
If-else Reasoning,991
Define Stop Criteria,993
Define Stop Criteria,1009
Define Stop Criteria,1012
Define Stop Criteria,1034
If-else Reasoning,1036
If-else Reasoning,1039
Define Stop Criteria,1052
Define Stop Criteria,1055
Define Stop Criteria,1067
Define Stop Criteria,1070
If-else Reasoning,1090
Define Stop Criteria,1092
Define Stop Criteria,1106
Define Stop Criteria,1109
Define Stop Criteria,1135
Define Stop Criteria,1138
Define Stop Criteria,1150
Define Stop Criteria,1153
