reason_category,usage_line
Super_Call,173
Super_Call,178
Define Stop Criteria,190
Define Stop Criteria,204
Define Stop Criteria,205
Super_Call,287
Super_Call,293
If-else Reasoning,302
If-else Reasoning,308
Define Stop Criteria,320
If-else Reasoning,323
Super_Call,367
Super_Call,373
Define Stop Criteria,390
Define Stop Criteria,414
Define Stop Criteria,473
Super_Call,548
Super_Call,553
If-else Reasoning,611
If-else Reasoning,638
Define Stop Criteria,648
Super_Call,656
Super_Call,662
Define Stop Criteria,672
Define Stop Criteria,675
If-else Reasoning,677
If-else Reasoning,680
If-else Reasoning,704
If-else Reasoning,711
Define Stop Criteria,727
If-else Reasoning,731
Define Stop Criteria,745
Define Stop Criteria,941
Define Stop Criteria,960
Define Stop Criteria,967
Define Stop Criteria,995
Define Stop Criteria,998
Define Stop Criteria,1004
Define Stop Criteria,1029
Define Stop Criteria,1039
Define Stop Criteria,1066
Define Stop Criteria,1077
Define Stop Criteria,1104
Define Stop Criteria,1115
Define Stop Criteria,1139
Define Stop Criteria,1151
Define Stop Criteria,1176
Define Stop Criteria,1186
Define Stop Criteria,1214
Define Stop Criteria,1225
Define Stop Criteria,1251
Define Stop Criteria,1262
Define Stop Criteria,1287
Define Stop Criteria,1290
Define Stop Criteria,1301
