reason_category,usage_line
Define Stop Criteria,88
If-else Reasoning,110
Define Stop Criteria,118
If-else Reasoning,119
Define Stop Criteria,127
If-else Reasoning,135
Define Stop Criteria,142
Define Stop Criteria,145
If-else Reasoning,148
If-else Reasoning,152
If-else Reasoning,194
If-else Reasoning,198
If-else Reasoning,199
Define Stop Criteria,224
If-else Reasoning,225
Define Stop Criteria,240
If-else Reasoning,241
If-else Reasoning,246
If-else Reasoning,267
Define Stop Criteria,279
Define Stop Criteria,282
Define Stop Criteria,286
If-else Reasoning,287
Define Stop Criteria,291
Define Stop Criteria,294
Define Stop Criteria,306
Define Stop Criteria,311
Define Stop Criteria,324
Define Stop Criteria,331
If-else Reasoning,333
Define Stop Criteria,345
Define Stop Criteria,348
Define Stop Criteria,351
If-else Reasoning,363
If-else Reasoning,368
Define Stop Criteria,434
Define Stop Criteria,437
If-else Reasoning,475
