reason_category,usage_line
If-else Reasoning,143
If-else Reasoning,160
If-else Reasoning,177
If-else Reasoning,184
If-else Reasoning,214
If-else Reasoning,255
If-else Reasoning,268
If-else Reasoning,289
If-else Reasoning,295
If-else Reasoning,297
Define Stop Criteria,352
Define Stop Criteria,364
If-else Reasoning,367
If-else Reasoning,369
If-else Reasoning,373
If-else Reasoning,376
If-else Reasoning,392
Define Stop Criteria,396
If-else Reasoning,400
If-else Reasoning,417
If-else Reasoning,419
If-else Reasoning,425
If-else Reasoning,428
If-else Reasoning,432
Define Stop Criteria,467
If-else Reasoning,486
Define Stop Criteria,492
If-else Reasoning,493
If-else Reasoning,500
Define Stop Criteria,504
If-else Reasoning,510
If-else Reasoning,515
If-else Reasoning,516
If-else Reasoning,523
If-else Reasoning,540
Define Stop Criteria,547
If-else Reasoning,558
Define Stop Criteria,564
If-else Reasoning,565
If-else Reasoning,572
Define Stop Criteria,576
If-else Reasoning,581
