reason_category,usage_line
If Condition,75
If Body,76
If Body,77
If Condition,106
If Body,107
If Body,108
If Body,109
If Body,110
If Body,111
If Condition,114
If Body,115
If Body,116
If Body,117
If Body,118
If Body,119
If Body,120
If Body,121
Define Stop Criteria,121
If Body,122
Loop Body,122
If Body,123
Loop Body,123
If Body,124
Loop Body,124
If Body,125
Loop Body,125
If Body,126
Loop Body,126
If Body,127
Loop Body,127
If Body,128
Loop Body,128
If Body,129
Loop Body,129
If Body,130
Loop Body,130
If Body,131
Loop Body,131
Else Reasoning,134
Else Reasoning,135
Else Reasoning,136
If Condition,149
If Body,150
If Body,151
Define Stop Criteria,151
Loop Body,152
If Body,152
If Condition,152
If Body,153
Loop Body,153
If Body,154
Loop Body,154
If Body,155
Loop Body,155
If Body,156
Else Reasoning,157
Else Reasoning,158
Else Reasoning,159
Else Reasoning,160
Else Reasoning,161
If Condition,182
If Body,183
If Body,184
If Body,185
If Condition,186
If Body,187
If Body,188
If Body,189
Define Stop Criteria,229
Loop Body, 230
If Condition,230
If Body,231
Loop Body,231
Loop Body,232
If Condition,233
Loop Body,233
If Body,234
Loop Body,234
if Body,235
Loop Body,235
Loop Body,236
Loop Body,237
Loop Body,238
Define Stop Criteria,256
Loop Body,257
Loop Body,258
Loop Body,259
If Condition,259
Loop Body,260
If Body,260
Loop Body,261
If Body,261
Loop Body,262
Loop Body,263
Loop Body,264
Loop Body,265
If Condition,265
Loop Body,266
If Body,266
Loop Body,267
If Body,267
Loop Body,268
Loop Body,269
Loop Body,270
If Condition,270
Loop Body,271
If Body,271
Loop Body,272
Define Stop Criteria,290
Loop Body,291
Loop Body,292
Loop Body,293
Loop Body,294
Loop Body,295
Loop Body,296
Define Stop Criteria,444
Loop Body,445
Loop Body,446
