name,usage_line,def_line,scope_type,range_type
IDoubleMatrix,218,54,interfaces,Long-Range
numColsIn,232,231,locals,Short-Range
numCols,232,227,globals,Short-Range
numRowsIn,233,231,locals,Short-Range
numRows,233,228,globals,Short-Range
backValueIn,234,231,locals,Short-Range
backValue,234,229,globals,Short-Range
myData,235,226,globals,Short-Range
numCols,236,232,globals,Short-Range
numRows,236,233,globals,Short-Range
j,241,240,locals,Short-Range
numRows,241,228,globals,Medium-Range
myData,244,226,globals,Medium-Range
j,244,240,locals,Short-Range
returnVal,245,244,locals,Short-Range
numCols,246,227,globals,Medium-Range
backValue,246,229,globals,Medium-Range
returnVal,246,244,locals,Short-Range
returnVal,248,246,locals,Short-Range
i,252,251,locals,Short-Range
numCols,252,227,globals,Medium-Range
numRows,255,228,globals,Medium-Range
backValue,255,229,globals,Medium-Range
row,257,257,locals,Short-Range
numRows,257,228,globals,Medium-Range
myData,258,226,globals,Long-Range
row,258,257,locals,Short-Range
myRow,259,258,locals,Short-Range
returnVal,260,255,locals,Short-Range
row,260,257,locals,Short-Range
myRow,260,258,locals,Short-Range
i,260,251,locals,Short-Range
returnVal,263,255,locals,Short-Range
j,267,266,locals,Short-Range
numRows,267,228,globals,Long-Range
setToMe,267,266,locals,Short-Range
numCols,267,227,globals,Long-Range
myData,269,226,globals,Long-Range
j,269,266,locals,Short-Range
setToMe,269,266,locals,Short-Range
i,273,272,locals,Short-Range
numCols,273,227,globals,Long-Range
setToMe,273,272,locals,Short-Range
numRows,273,228,globals,Long-Range
row,276,276,locals,Short-Range
numRows,276,228,globals,Long-Range
myData,277,226,globals,Long-Range
row,277,276,locals,Short-Range
myRow,278,277,locals,Short-Range
numCols,279,227,globals,Long-Range
backValue,279,229,globals,Long-Range
myRow,279,277,locals,Short-Range
myData,280,226,globals,Long-Range
row,280,276,locals,Short-Range
myRow,280,279,locals,Short-Range
myRow,282,279,locals,Short-Range
i,282,272,locals,Short-Range
setToMe,282,272,locals,Short-Range
row,282,276,locals,Short-Range
j,287,286,locals,Short-Range
numRows,287,228,globals,Long-Range
i,289,286,locals,Short-Range
numCols,289,227,globals,Long-Range
