name,usage_line,def_line,scope_type,range_type
numToFactorize,37,34,locals,Short-Range
resultStream,38,27,globals,Medium-Range
numToFactorize,41,34,locals,Short-Range
maxNumberToFactorize,41,18,globals,Medium-Range
resultStream,42,27,globals,Medium-Range
numToFactorize,42,34,locals,Short-Range
resultStream,47,27,globals,Medium-Range
numToFactorize,47,34,locals,Medium-Range
numToFactorize,60,34,locals,Medium-Range
curPosInAllPrimes,60,54,locals,Short-Range
numPrimes,60,24,globals,Long-Range
numToFactorize,63,34,locals,Medium-Range
allPrimes,63,21,globals,Long-Range
curPosInAllPrimes,63,54,locals,Short-Range
firstOne,67,58,locals,Short-Range
resultStream,68,27,globals,Long-Range
allPrimes,68,21,globals,Long-Range
curPosInAllPrimes,68,54,locals,Medium-Range
firstOne,69,58,locals,Medium-Range
resultStream,73,27,globals,Long-Range
allPrimes,73,21,globals,Long-Range
curPosInAllPrimes,73,54,locals,Medium-Range
allPrimes,77,21,globals,Long-Range
curPosInAllPrimes,77,54,locals,Medium-Range
numToFactorize,77,34,locals,Long-Range
curPosInAllPrimes,81,54,locals,Medium-Range
firstOne,86,69,locals,Medium-Range
resultStream,87,27,globals,Long-Range
numToFactorize,87,77,locals,Short-Range
numToFactorize,89,77,locals,Medium-Range
resultStream,90,27,globals,Long-Range
numToFactorize,90,77,locals,Medium-Range
outputStream,106,104,locals,Short-Range
resultStream,106,27,globals,Long-Range
maxNumberToFactorizeIn,107,104,locals,Short-Range
maxNumberToFactorize,107,18,globals,Long-Range
Math,111,4,libraries,Long-Range
maxNumberToFactorize,111,107,globals,Short-Range
upperBound,111,15,globals,Long-Range
upperBound,112,111,globals,Short-Range
allPrimes,112,21,globals,Long-Range
upperBound,115,111,globals,Short-Range
numPrimes,118,24,globals,Long-Range
i,122,122,locals,Short-Range
upperBound,122,111,globals,Medium-Range
i,123,122,locals,Short-Range
allPrimes,123,112,globals,Medium-Range
numIntsInList,127,115,locals,Medium-Range
numPrimes,127,118,globals,Short-Range
numPrimes,130,118,globals,Medium-Range
numPrimes,133,118,globals,Medium-Range
i,133,133,locals,Short-Range
numIntsInList,133,115,locals,Medium-Range
allPrimes,137,112,globals,Medium-Range
i,137,133,locals,Short-Range
numPrimes,137,118,globals,Medium-Range
allPrimes,138,112,globals,Medium-Range
i,138,133,locals,Short-Range
curPos,138,130,locals,Short-Range
curPos,139,130,locals,Short-Range
curPos,144,130,locals,Medium-Range
numIntsInList,144,115,locals,Medium-Range
numPrimes,147,118,globals,Medium-Range
TestCase,161,1,libraries,Long-Range
result,176,165,globals,Medium-Range
result,177,176,globals,Short-Range
outputStream,177,170,globals,Short-Range
description,184,183,locals,Short-Range
actual,185,183,locals,Short-Range
expected,186,183,locals,Short-Range
PrimeFactorizer,196,12,classes,Long-Range
outputStream,196,170,globals,Medium-Range
PrimeFactorizer.printPrimeFactorization,197,34,methods,Long-Range
printInfo,201,183,methods,Medium-Range
expected,201,200,locals,Short-Range
result,201,165,globals,Long-Range
expected,204,200,locals,Short-Range
result,204,165,globals,Long-Range
PrimeFactorizer,210,12,classes,Long-Range
outputStream,210,170,globals,Long-Range
PrimeFactorizer.printPrimeFactorization,211,34,methods,Long-Range
printInfo,215,183,methods,Long-Range
expected,215,214,locals,Short-Range
result,215,165,globals,Long-Range
expected,218,214,locals,Short-Range
result,218,165,globals,Long-Range
PrimeFactorizer,224,12,classes,Long-Range
outputStream,224,170,globals,Long-Range
PrimeFactorizer.printPrimeFactorization,225,34,methods,Long-Range
printInfo,229,183,methods,Long-Range
expected,229,228,locals,Short-Range
result,229,165,globals,Long-Range
expected,232,228,locals,Short-Range
result,232,165,globals,Long-Range
PrimeFactorizer,238,12,classes,Long-Range
outputStream,238,170,globals,Long-Range
PrimeFactorizer.printPrimeFactorization,239,34,methods,Long-Range
printInfo,243,183,methods,Long-Range
expected,243,242,locals,Short-Range
result,243,165,globals,Long-Range
expected,246,242,locals,Short-Range
result,246,165,globals,Long-Range
PrimeFactorizer,252,12,classes,Long-Range
outputStream,252,170,globals,Long-Range
PrimeFactorizer.printPrimeFactorization,253,34,methods,Long-Range
printInfo,257,183,methods,Long-Range
expected,257,256,locals,Short-Range
result,257,165,globals,Long-Range
expected,260,256,locals,Short-Range
result,260,165,globals,Long-Range
PrimeFactorizer,266,12,classes,Long-Range
outputStream,266,170,globals,Long-Range
PrimeFactorizer.printPrimeFactorization,267,34,methods,Long-Range
printInfo,271,183,methods,Long-Range
expected,271,270,locals,Short-Range
result,271,165,globals,Long-Range
expected,274,270,locals,Short-Range
result,274,165,globals,Long-Range
PrimeFactorizer,280,12,classes,Long-Range
outputStream,280,170,globals,Long-Range
PrimeFactorizer.printPrimeFactorization,281,34,methods,Long-Range
printInfo,285,183,methods,Long-Range
expected,285,284,locals,Short-Range
result,285,165,globals,Long-Range
expected,288,284,locals,Short-Range
result,288,165,globals,Long-Range
PrimeFactorizer,294,12,classes,Long-Range
outputStream,294,170,globals,Long-Range
PrimeFactorizer.printPrimeFactorization,295,34,methods,Long-Range
printInfo,299,183,methods,Long-Range
expected,299,298,locals,Short-Range
result,299,165,globals,Long-Range
expected,302,298,locals,Short-Range
result,302,165,globals,Long-Range
PrimeFactorizer,308,12,classes,Long-Range
outputStream,308,170,globals,Long-Range
PrimeFactorizer.printPrimeFactorization,309,34,methods,Long-Range
printInfo,313,183,methods,Long-Range
expected,313,312,locals,Short-Range
result,313,165,globals,Long-Range
expected,316,312,locals,Short-Range
