reason_category,usage_line
If Condition,37
If Body,38
If Body,39
If Body,40
If Condition,41
If Body,42
If Body,43
If Body,44
Define Stop Criteria,60
Loop Body,61
Loop Body,62
Loop Body,63
If Condition,63
Loop Body,64
If Body,64
Loop Body,65
If Body,65
Loop Body,66
If Body,66
Loop Body,67
If Body,67
If Condition,67
Loop Body,68
If Body,68
Loop Body,69
If Body,69
Loop Body,70
If Body,70
Loop Body,71
If Body,71
Loop Body,72
If Body,72
Else Reasoning,72
Loop Body,73
If Body,73
Else Reasoning,73
Loop Body,74
If Body,74
Else Reasoning,74
Loop Body,75
If Body,75
Loop Body,76
If Body,76
Loop Body,77
If Body,77
Loop Body,78
Loop Body,79
Loop Body,80
Else Reasoning,80
Loop Body,81
Else Reasoning,81
Loop Body,82
Else Reasoning,82
Loop Body,83
If Condition,86
If Body,87
Else Reasoning,89
Else Reasoning,90
Else Reasoning,91
Define Stop Criteria,122
Loop Body,123
Loop Body,124
Define Stop Criteria,127
Loop Body,128
Loop Body,129
Loop Body,130
Loop Body,131
Loop Body,132
Loop Body,133
Define Stop Criteria,133
Loop Body,134
Loop Body,135
Loop Body,136
Loop Body,137
If Condition,137
Loop Body,138
If Body,138
Loop Body,139
If Body,139
Loop Body,140
If Body,140
Loop Body,141
Loop Body,142
Loop Body,143
Loop Body,144
Loop Body,145
Loop Body,146
Loop Body,147
Loop Body,148
Loop Body,149
Define Stop Criteria,448
Loop Body,449
Loop Body,450
If Condition,450
If Body,451
Loop Body,451
Loop Body,452
If Body,452
Loop Body,453
If Body,453
Loop Body,454
If Body,454
Loop Body,455

