name,usage_line,def_line,scope_type,range_type
SphereABCD,144,261,classes,Long-Range
PQueueABCD,147,177,classes,Medium-Range
IObjectInMetricSpaceABCD,157,116,interfaces,Long-Range
getPointInInterior,163,122,methods,Long-Range
me,164,161,globals,Short-Range
maxDistanceTo,167,119,methods,Long-Range
checkMe,168,167,locals,Short-Range
me,168,161,globals,Short-Range
useMe,173,172,locals,Short-Range
me,173,161,globals,Medium-Range
maxCountIn,196,195,locals,Short-Range
maxCount,196,192,globals,Short-Range
myList,197,186,globals,Medium-Range
large,198,189,globals,Short-Range
large,203,189,globals,Medium-Range
myList,211,186,globals,Medium-Range
maxCount,211,192,globals,Medium-Range
distance,211,208,locals,Short-Range
large,211,189,globals,Medium-Range
i,215,215,locals,Short-Range
myList,215,186,globals,Medium-Range
myList,216,186,globals,Medium-Range
i,216,215,locals,Short-Range
distance,216,208,locals,Short-Range
maxDist,216,214,locals,Short-Range
myList,217,186,globals,Long-Range
i,217,215,locals,Short-Range
distance,217,208,locals,Short-Range
maxDist,217,214,locals,Short-Range
i,218,215,locals,Short-Range
badIndex,218,213,locals,Short-Range
myList,222,186,globals,Long-Range
badIndex,222,213,locals,Short-Range
myList,226,186,globals,Long-Range
maxCount,226,192,globals,Long-Range
Wrapper,229,180,classes,Long-Range
DataWrapper,230,429,classes,Long-Range
key,230,208,locals,Medium-Range
data,230,208,locals,Medium-Range
newOne,230,229,locals,Short-Range
distance,231,208,locals,Medium-Range
newOne,231,229,locals,Short-Range
myList,232,186,globals,Long-Range
newOne,232,229,locals,Short-Range
myList,236,186,globals,Long-Range
maxCount,236,192,globals,Long-Range
large,237,189,globals,Long-Range
i,238,238,locals,Short-Range
myList,238,186,globals,Long-Range
myList,239,186,globals,Long-Range
i,239,238,locals,Short-Range
distance,239,208,locals,Long-Range
large,239,237,globals,Short-Range
myList,240,186,globals,Long-Range
i,240,238,locals,Short-Range
distance,240,208,locals,Long-Range
large,240,237,globals,Short-Range
DataWrapper,250,429,classes,Long-Range
i,251,251,locals,Short-Range
myList,251,186,globals,Long-Range
returnVal,252,250,locals,Short-Range
myList,252,186,globals,Long-Range
i,252,251,locals,Short-Range
returnVal,255,250,locals,Short-Range
IObjectInMetricSpaceABCD,261,116,interfaces,Long-Range
centerIn,270,269,locals,Short-Range
center,270,265,globals,Short-Range
radiusIn,271,269,locals,Short-Range
radius,271,266,globals,Short-Range
swallowMe,278,275,locals,Short-Range
center,278,265,globals,Medium-Range
dist,279,278,locals,Short-Range
radius,279,266,globals,Medium-Range
dist,280,278,locals,Short-Range
radius,280,266,globals,Medium-Range
SphereABCD,284,261,classes,Medium-Range
center,285,265,globals,Medium-Range
me,285,284,locals,Short-Range
radius,285,266,globals,Medium-Range
checkMe,290,289,locals,Short-Range
center,290,265,globals,Medium-Range
radius,290,266,globals,Medium-Range
getPointInInterior,293,122,methods,Long-Range
center,294,265,globals,Medium-Range
maxDistanceTo,297,119,methods,Long-Range
radius,298,266,globals,Long-Range
checkMe,298,297,locals,Short-Range
center,298,265,globals,Long-Range
IPointInMetricSpace,304,127,interfaces,Long-Range
makeFromMe,311,310,locals,Short-Range
value,311,307,globals,Short-Range
getDistance,315,133,methods,Long-Range
OneDimPoint,315,304,classes,Medium-Range
value,316,307,globals,Short-Range
toMe,316,315,locals,Short-Range
value,317,307,globals,Short-Range
toMe,317,315,locals,Short-Range
toMe,319,315,locals,Short-Range
value,319,307,globals,Medium-Range
IPointInMetricSpace,324,127,interfaces,Long-Range
useMe,331,330,locals,Short-Range
me,331,327,globals,Short-Range
getDistance,335,133,methods,Long-Range
MultiDimPoint,335,324,classes,Medium-Range
i,338,338,locals,Short-Range
me,338,327,globals,Medium-Range
me,339,327,globals,Medium-Range
i,339,338,locals,Short-Range
diff,340,339,locals,Short-Range
diff,341,340,locals,Short-Range
distance,341,336,locals,Short-Range
distance,346,336,locals,Short-Range
IMTreeNodeABCD,351,137,interfaces,Long-Range
PointABCD,358,157,classes,Long-Range
myDataIn,359,358,locals,Short-Range
myData,359,355,globals,Short-Range
ChrisMetricDataListABCD,364,616,classes,Long-Range
myData,364,355,globals,Short-Range
getBoundingSphere,368,150,methods,Long-Range
myData,369,355,globals,Medium-Range
insert,372,141,methods,Long-Range
myData,375,355,globals,Medium-Range
PointABCD,375,157,classes,Long-Range
keyToAdd,375,372,locals,Short-Range
dataToAdd,375,372,locals,Short-Range
myData,378,355,globals,Medium-Range
getMaxSize,378,423,methods,Long-Range
PointABCD,379,157,classes,Long-Range
myData,379,355,globals,Medium-Range
LeafMTreeNodeABCD,380,351,classes,Medium-Range
newOne,380,379,locals,Short-Range
returnVal,381,380,locals,Short-Range
findKClosest,388,147,methods,Long-Range
PQueueABCD,388,177,classes,Long-Range
i,389,389,locals,Short-Range
myData,389,355,globals,Long-Range
SphereABCD,390,261,classes,Long-Range
query,390,388,locals,Short-Range
myQ,390,388,locals,Short-Range
SphereABCD.contains,391,289,methods,Long-Range
myData,391,355,globals,Long-Range
i,391,389,locals,Short-Range
getKey,391,439,methods,Long-Range
getPointInInterior,391,122,methods,Long-Range
myQ,392,388,locals,Short-Range
myData,392,355,globals,Long-Range
i,392,389,locals,Short-Range
getKey,392,439,methods,Long-Range
getPointInInterior,392,122,methods,Long-Range
getData,392,443,methods,Long-Range
query,393,388,locals,Short-Range
myData,393,355,globals,Long-Range
i,393,389,locals,Short-Range
getKey,393,439,methods,Long-Range
getPointInInterior,393,122,methods,Long-Range
find,398,144,methods,Long-Range
SphereABCD,398,261,classes,Long-Range
DataWrapper,400,429,classes,Medium-Range
i,403,403,locals,Short-Range
myData,403,355,globals,Long-Range
query,404,398,locals,Short-Range
myData,404,355,globals,Long-Range
i,404,403,locals,Short-Range
getKey,404,439,methods,Long-Range
getPointInInterior,404,122,methods,Long-Range
returnVal,405,400,locals,Short-Range
DataWrapper,405,429,classes,Medium-Range
myData,405,355,globals,Long-Range
i,405,403,locals,Short-Range
getKey,405,439,methods,Long-Range
getPointInInterior,405,122,methods,Long-Range
getData,405,443,methods,Long-Range
returnVal,409,400,locals,Short-Range
depth,412,153,methods,Long-Range
toMe,421,420,locals,Short-Range
maxSize,421,417,globals,Short-Range
maxSize,424,417,globals,Short-Range
keyIn,435,434,locals,Short-Range
