reason_category,usage_line
If Condition,211
If Body,212
If Body,213
If Body,214
If Body,215
Define Stop Criteria,215
If Condition,216
If Body,216
Loop Body,216
If Body,217
Loop Body,217
If Body,218
Loop Body,218
If Body,219
Loop Body,219
If Body,220
If Body,220
If Body,221
If Body,222
If Body,223
If Condition,226
If Body,227
If Body,228
If Body,229
If Body,230
If Body,231
If Body,232
If Body,233
If Condition,236
If Body,237
If Body,238
Define Stop Criteria,238
If Body,239
Loop Body,239
If Condition,239
Loop Body,240
If Body,240
Loop Body,241
If Body,241
Loop Body,242
If Body,242
If Body,243
Define Stop Criteria,251
Loop Body,252
Loop Body,253
If Condition,279
If Body,280
If Body,281
If Condition,316
If Body,317
Else Reasoning,318
Else Reasoning,319
Else Reasoning,320
Define Stop Criteria,338
Loop Body,339
Loop Body,340
Loop Body,341
Loop Body,342
If Condition,378
If Body,379
If Body,380
If Body,381
If Body,382
Define Stop Criteria,389
Loop Body,390
Loop Body,391
If Condition,391
Loop Body,392
If Body,392
Loop Body,393
If Body,393
Loop Body,394
If Body,394
Loop Body,395
Define Stop Criteria,403
Loop Body,404
If Condition,404
Loop Body,405
If Body,405
Loop Body,406
If Body,406
Loop Body,407
Define Stop Criteria,482
Loop Body,483
Loop Body,484
If Condition,485
Loop Body,485
Loop Body,486
If Body,486
Loop Body,487
If Body,487
Loop Body,488
If Body,488
Loop Body,489
If Condition,495
If Body,496
If Condition,500
If Body,501
If Body,502
If Body,503
If Body,504
Define Stop Criteria,511
Loop Body,512
Loop Body,513
If Condition,513
Loop Body,514
If Body,514
Loop Body,515
If Body,515
Loop Body,516
Define Stop Criteria,525
Loop Body,526
If Condition,526
Loop Body,527
If Body,527
Loop Body,528
If Body,528
Loop Body,529
If Condition,564
If Body,565
Else Reasoning,566
Else Reasoning,567
If Condition,583
If Body,584
If Body,585
If Body,586
If Body,587
If Body,588
Else Reasoning,589
Else Reasoning,590
Else Reasoning,591
Define Stop Criteria,625
Loop Body,626
Define Stop Criteria,626
Loop Body,627
Loop Body,628
Loop Body,629
Loop Body,630
Loop Body,631
Loop Body,632
Loop Body,633
Loop Body,634
Loop Body,635
Loop Body,636
If Condition,636
Loop Body,637
If Body,637
Loop Body,638
If Body,638
Loop Body,639
If Body,639
Loop Body,640
If Body,640
Loop Body,641
Loop Body,642
Define Stop Criteria,657
Loop Body,658
Loop Body,659
Loop Body,660
Loop Body,661
Loop Body,662
Loop Body,663
Define Stop Criteria,664
Loop Body,664
Loop Body,665
If Condition,665
Loop Body,666
If Body,666
Loop Body,667
If Body,667
Loop Body,668
If Body,668
Loop Body,669
Loop Body,670
Loop Body,671
Loop Body,672
Loop Body,673
Loop Body,674
Loop Body,675
If Condition,676
Loop Body,676
If Body,677
Loop Body,677
Loop Body,678
Loop Body,679
Loop Body,680
Define Stop Criteria,681
Loop Body,681
Loop Body,682
If Condition,682
Loop Body,683
If Body,683
Loop Body,684
If Body,684
Loop Body,685
If Body,685
Loop Body,686
Loop Body,687
Loop Body,688
Loop Body,689
Loop Body,690
Loop Body,691
If Condition,743
If Body,744
If Body,745
If Condition,786
If Body,787
If Body,788


