name,usage_line,def_line,scope_type,range_type
IPRNG,134,14,interfaces,Long-Range
mySeed,146,145,locals,Short-Range
seedValue,146,139,globals,Short-Range
Random,147,5,libraries,Long-Range
seedValue,147,146,globals,Short-Range
rng,147,140,globals,Short-Range
next,153,18,methods,Long-Range
rng,154,140,globals,Medium-Range
startOver,160,23,methods,Long-Range
rng,161,140,globals,Medium-Range
seedValue,161,139,globals,Medium-Range
ARandomGenerationAlgorithm,166,488,classes,Long-Range
MultinomialParam,173,223,classes,Long-Range
mySeed,174,173,locals,Short-Range
myParams,175,173,locals,Short-Range
params,175,171,globals,Short-Range
MultinomialParam,178,223,classes,Long-Range
prng,179,178,locals,Short-Range
myParams,180,178,locals,Short-Range
params,180,171,globals,Short-Range
getNext,186,515,methods,Long-Range
params,189,171,globals,Medium-Range
i,190,190,locals,Short-Range
params,190,171,globals,Medium-Range
genUniform,191,531,methods,Long-Range
myArray,191,189,locals,Short-Range
i,191,190,locals,Short-Range
myArray,195,189,locals,Short-Range
params,198,171,globals,Medium-Range
getLength,198,86,methods,Long-Range
i,204,204,locals,Short-Range
params,204,171,globals,Long-Range
myArray,205,189,locals,Medium-Range
i,205,204,locals,Short-Range
totProbSoFar,205,203,locals,Short-Range
curPosInProbs,206,202,locals,Short-Range
params,207,171,globals,Long-Range
getItem,207,47,methods,Long-Range
curPosInProbs,207,202,locals,Short-Range
totProbSoFar,207,203,locals,Short-Range
returnVal,209,198,locals,Medium-Range
curPosInProbs,209,202,locals,Short-Range
returnVal,211,198,locals,Medium-Range
numTrialsIn,229,228,locals,Short-Range
numTrials,229,225,globals,Short-Range
probsIn,230,228,locals,Short-Range
probs,230,226,globals,Short-Range
numTrials,234,225,globals,Short-Range
probs,238,226,globals,Medium-Range
shapeIn,252,251,locals,Short-Range
shape,252,248,globals,Short-Range
scaleIn,253,251,locals,Short-Range
scale,253,248,globals,Short-Range
leftmostStepIn,254,251,locals,Short-Range
leftmostStep,254,248,globals,Short-Range
numStepsIn,255,251,locals,Short-Range
numSteps,255,249,globals,Short-Range
shape,259,248,globals,Medium-Range
scale,263,248,globals,Medium-Range
leftmostStep,267,248,globals,Medium-Range
numSteps,271,249,globals,Medium-Range
ARandomGenerationAlgorithm,276,488,classes,Long-Range
GammaParam,287,246,classes,Long-Range
prng,288,287,locals,Short-Range
myParams,289,287,locals,Short-Range
params,289,281,globals,Short-Range
setup,290,299,methods,Short-Range
GammaParam,293,246,classes,Long-Range
mySeed,294,293,locals,Short-Range
myParams,295,293,locals,Short-Range
params,295,281,globals,Medium-Range
setup,296,299,methods,Short-Range
params,301,281,globals,Medium-Range
numShapeOnesToUse,301,283,globals,Medium-Range
numShapeOnesToUse,302,301,globals,Short-Range
UnitGamma,303,588,classes,Long-Range
getPRNG,303,508,methods,Long-Range
GammaParam,303,246,classes,Long-Range
gammaShapeOne,303,284,globals,Medium-Range
params,304,281,globals,Medium-Range
params,305,281,globals,Medium-Range
params,307,281,globals,Medium-Range
numShapeOnesToUse,307,301,globals,Short-Range
leftover,308,307,locals,Short-Range
UnitGamma,309,588,classes,Long-Range
getPRNG,309,508,methods,Long-Range
GammaParam,309,246,classes,Long-Range
leftover,309,307,locals,Short-Range
gammaShapeLessThanOne,309,285,globals,Medium-Range
params,310,281,globals,Medium-Range
params,311,281,globals,Medium-Range
getNext,318,515,methods,Long-Range
i,320,320,locals,Short-Range
numShapeOnesToUse,320,283,globals,Long-Range
gammaShapeOne,321,284,globals,Long-Range
value,321,319,locals,Short-Range
gammaShapeLessThanOne,323,285,globals,Long-Range
gammaShapeLessThanOne,324,285,globals,Long-Range
value,324,319,locals,Short-Range
value,326,324,locals,Short-Range
params,326,281,globals,Long-Range
shapesIn,341,340,locals,Short-Range
shapes,341,336,globals,Short-Range
leftmostStepIn,342,340,locals,Short-Range
leftmostStep,342,337,globals,Short-Range
numStepsIn,343,340,locals,Short-Range
numSteps,343,338,globals,Short-Range
shapes,347,336,globals,Medium-Range
leftmostStep,351,337,globals,Medium-Range
numSteps,355,338,globals,Medium-Range
ARandomGenerationAlgorithm,360,488,classes,Long-Range
DirichletParam,367,334,classes,Long-Range
mySeed,368,367,locals,Short-Range
myParams,369,367,locals,Short-Range
params,369,365,globals,Short-Range
setup,370,299,methods,Long-Range
DirichletParam,373,334,classes,Long-Range
prng,374,373,locals,Short-Range
myParams,375,373,locals,Short-Range
params,375,365,globals,Short-Range
setup,376,299,methods,Long-Range
params,386,365,globals,Medium-Range
i,390,387,locals,Short-Range
shapes,390,386,locals,Short-Range
shapes,391,386,locals,Short-Range
i,391,387,locals,Short-Range
gammas,392,382,globals,Short-Range
Gamma,392,276,classes,Long-Range
getPRNG,392,508,methods,Long-Range
GammaParam,392,246,classes,Long-Range
d,392,391,locals,Short-Range
params,393,365,globals,Medium-Range
params,394,365,globals,Medium-Range
i,397,387,locals,Short-Range
params,398,365,globals,Long-Range
gammas,399,382,globals,Medium-Range
getNext,407,515,methods,Long-Range
params,408,365,globals,Long-Range
getLength,408,86,methods,Long-Range
length,409,408,locals,Short-Range
gammas,414,382,globals,Long-Range
v,415,409,locals,Short-Range
i,415,411,locals,Short-Range
g,415,414,locals,Short-Range
i,418,411,locals,Short-Range
v,422,409,locals,Medium-Range
v,424,409,locals,Medium-Range
IPRNG,433,14,interfaces,Long-Range
BigInteger,439,2,libraries,Long-Range
BigInteger,440,2,libraries,Long-Range
BigInteger,441,2,libraries,Long-Range
BigInteger,442,2,libraries,Long-Range
mySeed,449,448,locals,Short-Range
seedValue,449,438,globals,Medium-Range
BigInteger,450,2,libraries,Long-Range
seedValue,450,449,globals,Short-Range
X,450,442,globals,Short-Range
next,456,18,methods,Long-Range
X,457,442,globals,Medium-Range
a,457,439,globals,Medium-Range
c,457,440,globals,Medium-Range
m,457,441,globals,Medium-Range
X,458,457,globals,Short-Range
max,458,443,globals,Medium-Range
startOver,464,23,methods,Long-Range
BigInteger,465,2,libraries,Long-Range
seedValue,465,438,globals,Medium-Range
X,465,442,globals,Medium-Range
ChrisPRNG,472,433,classes,Long-Range
i,473,473,locals,Short-Range
