reason_category,usage_line
Super_Call,173
Super_Call,178
Define Stop Criteria,190
Loop Body,191
Loop Body,192
Define Stop Criteria,204
Define Stop Criteria,205
Loop Body,205
Loop Body, 206
Loop Body, 207
Loop Body, 208
Loop Body, 209
Loop Body, 210
Super_Call,287
Super_Call,293
If Condition,302
If Body,303
If Body,304
If Body,305
If Body,306
If Condition,308
If Body,309
If Body,310
If Body,311
If Body,312
Define Stop Criteria,320
Loop Body,321
Loop Body,322
If Condition,323
If Body,324
Super_Call,367
Super_Call,373
Define Stop Criteria,390
Loop Body,391
Loop Body,392
Loop Body,393
Loop Body,394
Loop Body,395
Define Stop Criteria,414
Loop Body,415
Loop Body,416
Define Stop Criteria,473
Loop Body,474
Loop Body,475
Super_Call,548
Super_Call,553
If Condition,611
If Body,612
Else Reasoning,613
Else Reasoning,614
If Condition,638
If Body,639
If Body,640
If Body,641
If Body,642
If Body,643
Define Stop Criteria,648
Loop Body,649
Loop Body,650
Loop Body,651
Loop Body,652
Loop Body,653
Super_Call,656
Super_Call,662
Define Stop Criteria,672
Loop Body,673
Loop Body,674
Define Stop Criteria,675
Loop Body,675
Loop Body,676
If Condition,677
Loop Body,677
Loop Body,678
If Body,678
Loop Body,679
If Body,679
If Condition,680
Loop Body,680
If Body,680
If Body,681
Loop Body,681
If Body,682
Loop Body,682
If Body,683
Loop Body,683
Loop Body,684
Loop Body,685
Loop Body,686


