name,usage_line,def_line,scope_type,range_type
Iterator,51,3,libraries,Long-Range
Vector,57,3,libraries,Long-Range
curIdx,58,52,globals,Short-Range
numElements,59,57,locals,Short-Range
numElements,59,53,globals,Short-Range
indices,60,57,locals,Short-Range
indices,60,54,globals,Short-Range
data,61,57,locals,Short-Range
data,61,55,globals,Short-Range
curIdx,65,52,globals,Medium-Range
numElements,65,53,globals,Medium-Range
curIdx,69,52,globals,Medium-Range
indices,70,54,globals,Medium-Range
curIdx,70,69,globals,Medium-Range
data,70,55,globals,Medium-Range
ISparseArray,78,26,interfaces,Long-Range
data,86,80,globals,Short-Range
lastSlot,86,82,globals,Short-Range
lastSlot,87,82,globals,Short-Range
i,88,88,locals,Short-Range
numElements,88,81,globals,Short-Range
indices,89,79,globals,Short-Range
i,89,88,locals,Short-Range
temp,89,87,locals,Short-Range
temp,91,87,locals,Short-Range
indices,91,79,globals,Medium-Range
lastSlot,92,82,globals,Short-Range
iterator,95,48,methods,Long-Range
LinearIndexedIterator,96,51,classes,Long-Range
indices,96,79,globals,Medium-Range
data,96,80,globals,Medium-Range
numElements,96,81,globals,Medium-Range
initialSize,100,99,locals,Short-Range
indices,100,79,globals,Medium-Range
Vector,101,3,libraries,Long-Range
initialSize,101,99,locals,Short-Range
data,101,80,globals,Medium-Range
numElements,102,81,globals,Medium-Range
lastSlotReturned,103,83,globals,Medium-Range
initialSize,104,99,locals,Short-Range
lastSlot,104,82,globals,Medium-Range
put,107,33,methods,Long-Range
numElements,110,81,globals,Medium-Range
position,110,107,locals,Short-Range
indices,110,79,globals,Long-Range
data,111,80,globals,Long-Range
element,111,107,locals,Short-Range
position,112,107,locals,Short-Range
indices,112,79,globals,Long-Range
numElements,112,81,globals,Long-Range
i,118,118,locals,Short-Range
numElements,118,81,globals,Long-Range
indices,119,112,globals,Short-Range
i,119,118,locals,Short-Range
position,119,107,locals,Medium-Range
data,120,80,globals,Long-Range
element,120,107,locals,Medium-Range
i,120,118,locals,Short-Range
numElements,127,81,globals,Long-Range
pos,127,126,locals,Short-Range
pos,127,127,locals,Short-Range
indices,127,112,globals,Medium-Range
position,127,107,locals,Medium-Range
indices,128,112,globals,Medium-Range
pos,128,127,locals,Short-Range
position,130,107,locals,Medium-Range
indices,130,112,globals,Medium-Range
pos,130,126,locals,Short-Range
data,131,80,globals,Long-Range
pos,131,126,locals,Short-Range
element,131,107,locals,Medium-Range
numElements,134,81,globals,Long-Range
numElements,135,134,globals,Short-Range
lastSlot,135,82,globals,Long-Range
doubleCapacity,136,85,methods,Long-Range
get,139,41,methods,Long-Range
lastSlotReturned,142,83,globals,Long-Range
indices,142,79,globals,Long-Range
position,142,139,locals,Short-Range
lastSlotReturned,145,83,globals,Long-Range
numElements,145,81,globals,Long-Range
indices,145,79,globals,Long-Range
position,145,139,locals,Short-Range
lastSlotReturned,148,83,globals,Long-Range
indices,152,79,globals,Long-Range
lastSlotReturned,152,83,globals,Long-Range
position,152,139,locals,Medium-Range
data,156,80,globals,Long-Range
lastSlotReturned,156,83,globals,Long-Range
ISparseArray,160,26,interfaces,Long-Range
array,164,161,globals,Short-Range
put,167,33,methods,Long-Range
array,168,161,globals,Short-Range
position,168,167,locals,Short-Range
element,168,167,locals,Short-Range
get,171,41,methods,Long-Range
array,172,161,globals,Medium-Range
position,172,171,locals,Short-Range
iterator,175,48,methods,Long-Range
array,176,161,globals,Medium-Range
TestCase,185,1,libraries,Long-Range
goal,193,190,locals,Short-Range
allowedError,194,193,locals,Short-Range
allowedError,195,193,locals,Short-Range
observed,198,190,locals,Short-Range
goal,198,190,locals,Short-Range
allowedError,198,195,locals,Short-Range
pos,199,190,locals,Short-Range
observed,200,190,locals,Short-Range
pos,200,190,locals,Short-Range
goal,200,190,locals,Short-Range
observed,202,190,locals,Medium-Range
goal,202,190,locals,Medium-Range
Calendar,220,2,libraries,Long-Range
i,224,224,locals,Short-Range
i,225,224,locals,Short-Range
i,226,224,locals,Short-Range
myArray,229,210,locals,Medium-Range
i,229,224,locals,Short-Range
myArray,232,210,locals,Medium-Range
i,232,224,locals,Short-Range
i,240,240,locals,Short-Range
i,241,240,locals,Short-Range
i,242,240,locals,Short-Range
myArray,243,210,locals,Long-Range
i,243,240,locals,Short-Range
temp,246,243,locals,Short-Range
temp,247,243,locals,Short-Range
total,247,237,locals,Short-Range
Calendar,253,2,libraries,Long-Range
msec,253,220,locals,Long-Range
checkCloseEnough,256,190,methods,Long-Range
total,256,237,locals,Medium-Range
msec,259,253,locals,Short-Range
myArray,266,265,locals,Short-Range
myArray,267,265,locals,Short-Range
checkCloseEnough,269,190,methods,Long-Range
myArray,269,265,locals,Short-Range
i,279,279,locals,Short-Range
myArray,280,277,locals,Short-Range
i,280,279,locals,Short-Range
i,282,282,locals,Short-Range
myArray,283,277,locals,Short-Range
i,283,282,locals,Short-Range
i,286,286,locals,Short-Range
myArray,287,277,locals,Short-Range
i,287,286,locals,Short-Range
i,288,286,locals,Short-Range
i,291,291,locals,Short-Range
checkCloseEnough,292,190,methods,Long-Range
myArray,292,277,locals,Medium-Range
i,292,291,locals,Short-Range
i,294,294,locals,Short-Range
checkCloseEnough,295,190,methods,Long-Range
myArray,295,277,locals,Medium-Range
i,295,294,locals,Short-Range
i,306,306,locals,Short-Range
myArray,307,304,locals,Short-Range
i,307,306,locals,Short-Range
myArray,308,304,locals,Short-Range
i,308,306,locals,Short-Range
i,311,311,locals,Short-Range
checkCloseEnough,312,190,methods,Long-Range
myArray,312,304,locals,Short-Range
i,312,311,locals,Short-Range
checkCloseEnough,313,190,methods,Long-Range
myArray,313,304,locals,Short-Range
i,313,311,locals,Short-Range
i,324,324,locals,Short-Range
myArray,325,321,locals,Short-Range
i,325,324,locals,Short-Range
Iterator,329,3,libraries,Long-Range
myArray,329,321,locals,Short-Range
myIter,331,329,locals,Short-Range
myIter,332,329,locals,Short-Range
curOne,333,332,locals,Short-Range
counter,333,330,locals,Short-Range
counter,334,330,locals,Short-Range
curOne,334,332,locals,Short-Range
checkCloseEnough,335,190,methods,Long-Range
curOne,335,332,locals,Short-Range
counter,335,330,locals,Short-Range
counter,336,330,locals,Short-Range
i,345,345,locals,Short-Range
myArray,346,344,locals,Short-Range
i,346,345,locals,Short-Range
i,348,348,locals,Short-Range
myArray,349,344,locals,Short-Range
i,349,348,locals,Short-Range
i,351,351,locals,Short-Range
checkCloseEnough,352,190,methods,Long-Range
myArray,352,344,locals,Short-Range
i,352,351,locals,Short-Range
LinearSparseArray,361,78,classes,Long-Range
Iterator,362,3,libraries,Long-Range
LinearSparseArray.iterator,362,95,methods,Long-Range
myIter,363,362,locals,Short-Range
TreeSparseArray,366,160,classes,Long-Range
myArray,366,361,locals,Short-Range
LinearSparseArray.iterator,367,95,methods,Long-Range
myIter,367,362,locals,Short-Range
myIter,368,367,locals,Short-Range
LinearSparseArray,378,78,classes,Long-Range
iteratorTester,379,321,methods,Long-Range
myArray,379,378,locals,Short-Range
TreeSparseArray,383,160,classes,Long-Range
iteratorTester,384,321,methods,Long-Range
myArray,384,383,locals,Short-Range
LinearSparseArray,392,78,classes,Long-Range
rewriteTester,393,344,methods,Long-Range
myArray,393,392,locals,Short-Range
TreeSparseArray,397,160,classes,Long-Range
rewriteTester,398,344,methods,Long-Range
myArray,398,397,locals,Short-Range
LinearSparseArray,405,78,classes,Long-Range
moreComplexTester,406,277,methods,Long-Range
myArray,406,405,locals,Short-Range
TreeSparseArray,410,160,classes,Long-Range
moreComplexTester,411,277,methods,Long-Range
myArray,411,410,locals,Short-Range
TreeSparseArray,419,160,classes,Long-Range
superSimpleTester,420,265,methods,Long-Range
myArray,420,419,locals,Short-Range
LinearSparseArray,424,78,classes,Long-Range
superSimpleTester,425,265,methods,Long-Range
myArray,425,424,locals,Short-Range
LinearSparseArray,432,78,classes,Long-Range
i,434,434,locals,Short-Range
LinearSparseArray.put,435,107,methods,Long-Range
i,435,434,locals,Short-Range
i,437,437,locals,Short-Range
checkCloseEnough,438,190,methods,Long-Range
LinearSparseArray.get,438,139,methods,Long-Range
i,438,437,locals,Short-Range
LinearSparseArray,445,78,classes,Long-Range
strangeOrderTester,446,304,methods,Long-Range
myArray,446,445,locals,Short-Range
TreeSparseArray,450,160,classes,Long-Range
strangeOrderTester,451,304,methods,Long-Range
myArray,451,450,locals,Short-Range
LinearSparseArray,461,78,classes,Long-Range
doInsertThenScan,466,210,methods,Long-Range
myArray1,466,460,locals,Short-Range
