name,usage_line,def_line,scope_type,range_type
AVLNode,48,28,classes,Medium-Range
toList,50,43,methods,Short-Range
getBig,52,44,methods,Short-Range
print,56,42,methods,Medium-Range
checkBalanced,60,40,methods,Medium-Range
insert,63,29,methods,Long-Range
Occupied,64,134,classes,Long-Range
Data,64,114,classes,Long-Range
myKey,64,63,locals,Short-Range
myVal,64,63,locals,Short-Range
EmptyNode,64,48,classes,Medium-Range
removeBig,67,30,methods,Long-Range
getLeft,71,31,methods,Long-Range
getRight,75,32,methods,Long-Range
getVal,79,33,methods,Long-Range
getHeight,83,34,methods,Long-Range
isBalanced,87,41,methods,Long-Range
setHeight,91,35,methods,Long-Range
raiseRight,96,36,methods,Long-Range
raiseLeft,100,37,methods,Long-Range
makeLeftDeep,104,38,methods,Long-Range
makeRightDeep,108,39,methods,Long-Range
score,120,116,globals,Short-Range
val,124,117,globals,Short-Range
scoreIn,128,127,locals,Short-Range
score,128,116,globals,Medium-Range
valIn,129,127,locals,Short-Range
val,129,117,globals,Medium-Range
AVLNode,134,28,classes,Long-Range
getBig,141,44,methods,Long-Range
right,142,137,globals,Short-Range
val,143,138,globals,Short-Range
big,143,142,locals,Short-Range
val,144,138,globals,Short-Range
big,146,142,locals,Short-Range
toList,149,43,methods,Long-Range
left,150,136,globals,Medium-Range
myList,150,149,locals,Short-Range
myList,151,149,locals,Short-Range
val,151,138,globals,Medium-Range
right,152,137,globals,Medium-Range
myList,152,149,locals,Short-Range
print,155,42,methods,Long-Range
left,156,136,globals,Medium-Range
val,156,138,globals,Medium-Range
right,156,137,globals,Medium-Range
checkBalanced,159,40,methods,Long-Range
isBalanced,160,41,methods,Long-Range
left,161,136,globals,Medium-Range
right,161,137,globals,Medium-Range
left,162,136,globals,Medium-Range
right,163,137,globals,Medium-Range
isBalanced,166,41,methods,Long-Range
left,167,136,globals,Long-Range
right,167,137,globals,Medium-Range
left,168,136,globals,Long-Range
right,168,137,globals,Long-Range
getVal,171,33,methods,Long-Range
val,172,138,globals,Long-Range
removeBig,175,30,methods,Long-Range
AVLNode,176,28,classes,Long-Range
right,176,137,globals,Long-Range
newRight,177,176,locals,Short-Range
left,178,136,globals,Long-Range
newRight,180,176,locals,Short-Range
right,180,137,globals,Long-Range
setHeight,181,35,methods,Long-Range
isBalanced,184,166,methods,Medium-Range
left,187,136,globals,Long-Range
AVLNode,190,28,classes,Long-Range
left,190,136,globals,Long-Range
AVLNode,191,28,classes,Long-Range
right,191,180,globals,Medium-Range
oldLeft,192,190,locals,Short-Range
left,192,136,globals,Long-Range
Occupied,193,134,classes,Long-Range
val,193,138,globals,Long-Range
oldLeft,193,190,locals,Short-Range
right,193,180,globals,Medium-Range
oldLeft,194,190,locals,Short-Range
val,194,138,globals,Long-Range
setHeight,195,35,methods,Long-Range
getLeft,202,31,methods,Long-Range
left,203,136,globals,Long-Range
getRight,206,32,methods,Long-Range
right,207,137,globals,Long-Range
setHeight,210,35,methods,Long-Range
left,212,136,globals,Long-Range
right,213,137,globals,Long-Range
one,214,212,locals,Short-Range
other,214,213,locals,Short-Range
one,215,212,locals,Short-Range
height,215,139,globals,Long-Range
other,217,213,locals,Short-Range
height,217,215,globals,Short-Range
height,218,215,globals,Short-Range
getHeight,221,34,methods,Long-Range
height,222,139,globals,Long-Range
raiseLeft,225,37,methods,Long-Range
left,228,136,globals,Long-Range
AVLNode,231,28,classes,Long-Range
left,231,136,globals,Long-Range
AVLNode,232,28,classes,Long-Range
right,232,137,globals,Long-Range
oldLeft,233,231,locals,Short-Range
left,233,136,globals,Long-Range
Occupied,234,134,classes,Long-Range
val,234,138,globals,Long-Range
oldLeft,234,231,locals,Short-Range
right,234,137,globals,Long-Range
oldLeft,235,231,locals,Short-Range
val,235,138,globals,Long-Range
setHeight,236,210,methods,Medium-Range
raiseRight,239,36,methods,Long-Range
right,242,137,globals,Long-Range
AVLNode,245,28,classes,Long-Range
left,245,136,globals,Long-Range
AVLNode,246,28,classes,Long-Range
