reason_category,usage_line
If Condition,143
If Body,144
Else Reasoning,145
Else Reasoning,146
If Condition,160
If Body,161
If Condition,177
If Body,178
Else Reasoning,179
Else Reasoning,180
Else Reasoning,181
Else Reasoning,182
Else Reasoning,183
Else Reasoning,184
If Condition,184
Else Reasoning,185
If Body,185
Else Reasoning,186
If Body,186
Else Reasoning,187
If Body,187
Else Reasoning,188
If Body,188
Else Reasoning,189
If Body,189
Else Reasoning,190
If Body,190
Else Reasoning,191
If Body,191
Else Reasoning,192
If Body,192
Else Reasoning,193
If Body,193
Else Reasoning,194
If Body,194
Else Reasoning,195
If Body,195
Else Reasoning,196
If Body,196
Else Reasoning,197
Else Reasoning,198
Else Reasoning,199
If Condition,214
If Body,215
Else Reasoning,216
Else Reasoning,217
If Condition,255
If Body,256
If Condition,268
If Body,269
If Condition,289
If Body,290
Else Reasoning,291
Else Reasoning,292
Else Reasoning,293
If Condition,295
If Body,296
Elif Condition,297
Elif Body,298
Define Stop Criteria,352
Loop Body,353
Define Stop Criteria,364
Loop Body,365
Loop Body,366
Loop Body,367
If Condition,367
If Body,368
Loop Body,368
Loop Body,369
Elif Condition,369
Loop Body,370
Elif Body,370
Loop Body,371
Loop Body,372
Loop Body,373
If Condition,373
Loop Body,374
If Body,374
Loop Body,375
If Body,375
Loop Body,376
If Body,376
If Condition,376
Loop Body,377
If Body,377
Loop Body,378
If Body,378
Loop Body,379
If Body,379
If Body,380
Loop Body,380
Loop Body,381
Loop Body,382
Loop Body,383
Else Reasoning,383
Loop Body,384
Else Reasoning,384
Loop Body,385
Else Reasoning,385
Loop Body,386
Else Reasoning,386
Loop Body,387
Else Reasoning,387
Loop Body,388
Loop Body,389
If Condition,392
If Body,393
Define Stop Criteria,396
Loop Body,397
If Condition,400
If Body,401
Else Reasoning,402
Else Reasoning,403
If Condition,417
If Body,418
If Condition,419
If Body,420
If Condition,425
If Body,426
If Body,427
If Condition,428
If Body,428
If Body,429
If Body,430
If Condition,432
If Body,433
If Body,434
If Body,435
If Body,436
Define Stop Criteria,467
Loop Body,468
Loop Body,469
Loop Body,470
Loop Body,471
Loop Body,472
If Condition,486
If Body,487
Define Stop Criteria,492
Loop Body,493
If Condition,493
If Body,494
Loop Body,494
Else Reasoning,495
Loop Body,495
Else Reasoning,496
Loop Body,496
Loop Body,497
If Condition,500
If Body,501
Define Stop Criteria,504
Loop Body,505
Loop Body,506
Loop Body,507
Loop Body,508
Loop Body,509
Loop Body,510
If Condition,510
Loop Body,511
If Body,511
Loop Body,512
If Body,512
Loop Body,513
If Body,513
Loop Body,514
If Body,514
Loop Body,515
If Body,515
If Condition,515
Loop Body,516
If Body,516
If Condition,516
Loop Body,517
If Body,517
Loop Body,518
If Body,518
Loop Body,519
If Body,519
Loop Body,520
If Body,520
Else Reasoning,520
Loop Body,521
If Body,521
Else Reasoning,521
Loop Body,522
If Body,522
Else Reasoning,522
Loop Body,523
If Body,523
Else Reasoning,523
If Condition,523
Loop Body,524
If Body,524
Else Reasoning,524
Loop Body,525
If Body,525
Else Reasoning,525
Loop Body,526
If Body,526
Else Reasoning,526
Loop Body,527
If Body,527
Else Reasoning,527
Loop Body,528
If Body,528
Else Reasoning,528
Loop Body,529
If Body,529
Else Reasoning,529
Loop Body,530
If Body,530
Else Reasoning,530
Loop Body,531
If Body,531
Else Reasoning,531
Loop Body,532
If Body,532
Loop Body,533
If Condition,540
If Body,541
Define Stop Criteria,547
Loop Body,548
Loop Body,549
If Condition,558
If Body,559
Define Stop Criteria,564
Loop Body,565
If Condition,565
Loop Body,566
If Body,566
Else Reasoning,567
Loop Body,567
Else Reasoning,568
Loop Body,568
Loop Body,569
If Condition,572
If Loop,573
Define Stop Criteria,576
Loop Body,577
Loop Body,578
Loop Body,579
Loop Body,580
If Condition,581
Loop Body,581
If Body,582
Loop Body,582
Loop Body,583
If Body,583
Loop Body,584
If Body,584
Loop Body,585
If Body,585
Loop Body,586
If Body,586
Loop Body,587
If Body,587
Loop Body,588
If Body,588
Loop Body,589
Loop Body,590
Loop Body,591
Loop Body,592
Loop Body,593
Loop Body,594
Loop Body,595
Loop Body,596
Loop Body,597
