var_name,usage_line,def_line,scope_type,range_type
tf,22,16,library,Short-Range
tf,25,16,library,Short-Range
x,25,24,local,Short-Range
tf,28,16,library,Medium-Range
x,28,27,local,Short-Range
tf,31,16,library,Medium-Range
x,31,30,local,Short-Range
tfa,34,15,library,Medium-Range
x,34,33,local,Short-Range
x,37,36,local,Short-Range
tf,37,16,library,Medium-Range
layers,40,12,library,Medium-Range
x,40,39,local,Short-Range
tf,45,16,library,Medium-Range
x,45,43,local,Short-Range
x,47,43,local,Short-Range
tf,49,16,library,Long-Range
x,49,43,local,Short-Range
group_size,49,45,local,Short-Range
s,49,47,local,Short-Range
tf,51,16,library,Long-Range
y,51,49,local,Short-Range
y,53,51,local,Short-Range
tf,53,16,library,Long-Range
tf,55,16,library,Long-Range
tf,57,16,library,Long-Range
tf,59,16,library,Long-Range
tf,61,16,library,Long-Range
x,61,43,local,Medium-Range
tf,63,16,library,Long-Range
group_size,63,45,local,Medium-Range
s,63,47,local,Medium-Range
tf,64,16,library,Long-Range
x,64,43,local,Medium-Range
y,64,63,local,Short-Range
layers,67,12,library,Long-Range
factor,68,66,local,Short-Range
x,69,66,local,Short-Range
layers,72,12,library,Long-Range
filters,72,71,local,Short-Range
kernel_size,72,71,local,Short-Range
factor,73,71,local,Short-Range
padding,73,71,local,Short-Range
x,73,71,local,Short-Range
layers,76,12,library,Long-Range
factor,76,75,local,Short-Range
x,76,75,local,Short-Range
tf,84,16,library,Long-Range
tf,89,16,library,Long-Range
tf,90,16,library,Long-Range
EqualizedConv2D,94,84,class,Short-Range
self,94,85,local,Short-Range
self,95,85,local,Short-Range
filters,95,85,local,Short-Range
self,96,85,local,Medium-Range
kernel_size,96,85,local,Medium-Range
self,97,85,local,Medium-Range
strides,97,85,local,Medium-Range
self,98,85,local,Medium-Range
kernel_initializer,98,85,local,Medium-Range
self,99,85,local,Medium-Range
bias_initializer,99,85,local,Medium-Range
self,100,85,local,Medium-Range
gain,100,85,local,Medium-Range
input_shape,103,102,local,Short-Range
self,104,102,local,Short-Range
n_channels,104,103,local,Short-Range
self,105,102,local,Short-Range
tf,105,16,library,Long-Range
fan_in,105,104,local,Short-Range
self,107,102,local,Short-Range
self,109,102,local,Short-Range
n_channels,110,103,local,Short-Range
self,111,102,local,Short-Range
self,112,102,local,Short-Range
tf,114,16,library,Long-Range
self,116,102,local,Medium-Range
self,118,102,local,Medium-Range
self,119,102,local,Medium-Range
tf,121,16,library,Long-Range
config,125,124,local,Short-Range
self,126,123,local,Short-Range
self,127,123,local,Short-Range
self,128,123,local,Short-Range
self,129,123,local,Short-Range
self,130,123,local,Short-Range
self,131,123,local,Short-Range
config,133,124,local,Short-Range
tf,136,16,library,Long-Range
inputs,136,135,local,Short-Range
self,136,135,local,Short-Range
self,138,135,local,Short-Range
x,140,138,local,Short-Range
tf,142,16,library,Long-Range
tf,147,16,library,Long-Range
tf,148,16,library,Long-Range
EqualizedConv2DTranspose,152,142,class,Short-Range
self,152,143,local,Short-Range
self,153,143,local,Short-Range
filters,153,143,local,Short-Range
self,154,143,local,Medium-Range
kernel_size,154,143,local,Medium-Range
self,155,143,local,Medium-Range
strides,155,143,local,Medium-Range
self,156,143,local,Medium-Range
kernel_initializer,156,143,local,Medium-Range
