var_name,usage_line,def_line,scope_type,range_type
sigma,10,9,local,Short-Range
kernel_size,11,9,local,Short-Range
np,16,1,library,Medium-Range
sigma_x,16,10,local,Short-Range
size_x,16,13,local,Short-Range
np,17,1,library,Medium-Range
sigma_y,17,10,local,Short-Range
size_y,17,14,local,Short-Range
np,19,1,library,Medium-Range
x,19,16,local,Short-Range
sigma_x,19,10,local,Short-Range
y,19,16,local,Short-Range
sigma_y,19,10,local,Short-Range
kernel,20,19,local,Short-Range
np,20,1,library,Medium-Range
sigma_x,20,10,local,Short-Range
sigma_y,20,10,local,Short-Range
kernel,21,19,local,Short-Range
kernel,22,19,local,Short-Range
np,25,1,library,Medium-Range
image,26,25,local,Short-Range
w,28,26,local,Short-Range
target_size,28,24,local,Short-Range
h,29,26,local,Short-Range
target_size,29,24,local,Short-Range
left,31,28,local,Short-Range
target_size,31,24,local,Short-Range
top,32,29,local,Short-Range
target_size,32,24,local,Short-Range
image,34,25,local,Short-Range
top,34,29,local,Short-Range
bottom,34,32,local,Short-Range
right,34,31,local,Short-Range
cropped_image,35,34,local,Short-Range
cv2,37,2,library,Long-Range
cv2,38,2,library,Long-Range
img_a,43,37,local,Short-Range
img_b,43,38,local,Short-Range
center_crop,44,24,function,Medium-Range
cv2,44,2,library,Long-Range
img_a,44,37,local,Short-Range
smallest_dim,44,43,local,Short-Range
center_crop,45,24,function,Medium-Range
cv2,45,2,library,Long-Range
img_b,45,38,local,Short-Range
smallest_dim,45,43,local,Short-Range
np,46,1,library,Long-Range
img_a_gray,46,44,local,Short-Range
np,47,1,library,Long-Range
img_b_gray,47,45,local,Short-Range
gaussian2D,54,9,function,Long-Range
sigma_a,54,52,local,Short-Range
kernel_size_a,54,53,local,Short-Range
gaussian2D,58,9,function,Long-Range
sigma_b,58,56,local,Short-Range
kernel_size_b,58,57,local,Short-Range
cv2,60,2,library,Long-Range
img_a_gray,60,44,local,Medium-Range
gaussian_kernel_a,60,54,local,Short-Range
cv2,61,2,library,Long-Range
img_b_gray,61,45,local,Medium-Range
gaussian_kernel_b,61,58,local,Short-Range
img_a_gray,63,44,local,Medium-Range
blur_a,63,60,local,Short-Range
blur_b,64,61,local,Short-Range
a_diff,64,63,local,Short-Range
img_c,65,64,local,Short-Range
factor,68,67,local,Short-Range
image,71,67,local,Short-Range
height,72,71,local,Short-Range
factor,72,67,local,Short-Range
width,73,71,local,Short-Range
factor,73,67,local,Short-Range
image,75,67,local,Short-Range
np,76,1,library,Long-Range
new_height,76,72,local,Short-Range
new_width,76,73,local,Short-Range
image,76,67,local,Short-Range
np,78,1,library,Long-Range
new_height,78,72,local,Short-Range
new_width,78,73,local,Short-Range
new_height,80,72,local,Short-Range
new_width,81,73,local,Short-Range
downsampled_image,82,78,local,Short-Range
i,82,80,loop,Short-Range
j,82,81,loop,Short-Range
image,82,67,local,Medium-Range
factor,82,67,local,Medium-Range
downsampled_image,83,78,local,Short-Range
downsample_image,86,67,function,Medium-Range
img_c,86,64,local,Medium-Range
downsampling_factor,86,85,local,Short-Range
np,87,1,library,Long-Range
downsampled_image,87,86,local,Short-Range
np,94,1,library,Long-Range
image,94,93,local,Short-Range
np,95,1,library,Long-Range
spectrum,95,94,local,Short-Range
log_spectrum,96,95,local,Short-Range
compute_fourier_magnitude,98,93,function,Short-Range
img_a_gray,98,44,local,Long-Range
compute_fourier_magnitude,99,93,function,Short-Range
img_b_gray,99,45,local,Long-Range
compute_fourier_magnitude,100,93,function,Short-Range
blur_b,100,61,local,Long-Range
compute_fourier_magnitude,101,93,function,Short-Range
a_diff,101,63,local,Long-Range
compute_fourier_magnitude,102,93,function,Short-Range
img_c,102,64,local,Long-Range
spectrum_A,103,98,local,Short-Range
spectrum_B,104,99,local,Short-Range
spectrum_A_blur_A,105,101,local,Short-Range
spectrum_blurred_B,106,100,local,Short-Range
spectrum_C,107,102,local,Short-Range
cv2,111,2,library,Long-Range
cv2,112,2,library,Long-Range
cv2,113,2,library,Long-Range
apple,113,111,local,Short-Range
cv2,114,2,library,Long-Range
orange,114,112,local,Short-Range
A,116,113,local,Short-Range
G,117,116,local,Short-Range
cv2,119,2,library,Long-Range
gpA,120,117,local,Short-Range
G,120,119,local,Short-Range
B,123,114,local,Short-Range
G,124,123,local,Short-Range
cv2,126,2,library,Long-Range
gpB,127,124,local,Short-Range
G,127,126,local,Short-Range
gpA,130,117,local,Medium-Range
cv2,132,2,library,Long-Range
gpA,132,117,local,Medium-Range
i,132,131,loop,Short-Range
cv2,133,2,library,Long-Range
gpA,133,117,local,Medium-Range
i,133,131,loop,Short-Range
GE,133,132,local,Short-Range
lpA,134,130,local,Short-Range
L,134,133,local,Short-Range
gpB,136,124,local,Medium-Range
cv2,138,2,library,Long-Range
gpB,138,124,local,Medium-Range
i,138,137,loop,Short-Range
cv2,139,2,library,Long-Range
gpB,139,124,local,Medium-Range
i,139,137,loop,Short-Range
GE,139,138,local,Short-Range
lpB,140,136,local,Short-Range
L,140,139,local,Short-Range
lpA,144,130,local,Medium-Range
lpB,144,136,local,Short-Range
la,145,144,loop,Short-Range
np,146,1,library,Long-Range
la,146,144,loop,Short-Range
cols,146,145,local,Short-Range
lb,146,144,loop,Short-Range
LS,147,143,local,Short-Range
ls,147,146,local,Short-Range
LS,150,143,local,Short-Range
cv2,152,2,library,Long-Range
cv2,153,2,library,Long-Range
LS,153,143,local,Short-Range
i,153,151,loop,Short-Range
np,156,1,library,Long-Range
A,156,113,local,Long-Range
B,156,114,local,Long-Range
cv2,158,2,library,Long-Range
ls_,158,150,local,Short-Range
cv2,159,2,library,Long-Range
real,159,156,local,Short-Range
blended_rgb,161,158,local,Short-Range
original_rgb,162,159,local,Short-Range
np,169,1,library,Long-Range
shape,169,168,local,Short-Range
mask,170,169,local,Short-Range
height,171,170,local,Short-Range
width,171,170,local,Short-Range
mask,172,169,local,Short-Range
i,172,171,loop,Short-Range
strip_width,172,168,local,Short-Range
width,172,170,local,Short-Range
mask,173,169,local,Short-Range
create_diagonal_mask,177,168,function,Short-Range
A,177,113,local,Long-Range
mask,178,177,local,Short-Range
M,179,178,local,Short-Range
cv2,181,2,library,Long-Range
gpmask,182,179,local,Short-Range
M,182,181,local,Short-Range
gpmask,183,179,local,Short-Range
gpmask,184,179,local,Short-Range
lpA,185,130,local,Long-Range
i,185,184,loop,Short-Range
lpA,186,130,local,Long-Range
i,186,184,loop,Short-Range
