var_name,usage_line,def_line,scope_type,range_type
os,2,1,library,Short-Range
os,3,1,library,Short-Range
os,4,1,library,Short-Range
random,31,26,library,Short-Range
SEED,31,29,local,Short-Range
np,32,19,library,Medium-Range
SEED,32,29,local,Short-Range
tf,33,20,library,Medium-Range
SEED,33,29,local,Short-Range
datetime,34,6,library,Medium-Range
os,37,8,library,Medium-Range
tf,37,20,library,Medium-Range
tf,40,20,library,Medium-Range
os,43,8,library,Long-Range
os,44,8,library,Long-Range
script_path,44,43,local,Short-Range
os,46,8,library,Long-Range
script_dir,46,44,local,Short-Range
current_time,46,34,local,Medium-Range
os,47,8,library,Long-Range
log_dir,47,46,local,Short-Range
os,48,8,library,Long-Range
log_dir,48,46,local,Short-Range
logging,50,18,library,Long-Range
os,50,8,library,Long-Range
log_dir,50,46,local,Short-Range
logging,53,18,library,Long-Range
logging,54,18,library,Long-Range
Dict,57,16,library,Long-Range
Tuple,57,17,library,Long-Range
args,59,57,local,Short-Range
args,60,57,local,Short-Range
args,61,57,local,Short-Range
args,62,57,local,Short-Range
args,63,57,local,Short-Range
args,64,57,local,Short-Range
args,65,57,local,Short-Range
args,66,57,local,Short-Range
args,67,57,local,Short-Range
args,68,57,local,Medium-Range
args,69,57,local,Medium-Range
buffer_shape,71,58,local,Medium-Range
tf,80,20,library,Long-Range
tf,81,20,library,Long-Range
tf,83,20,library,Long-Range
x,83,83,lambda,Short-Range
num_objs,83,74,local,Short-Range
states,83,81,local,Short-Range
goals,84,83,local,Short-Range
get_goal,86,81,function,Short-Range
args,98,89,local,Short-Range
tf,99,20,library,Long-Range
sys,100,10,library,Long-Range
args,102,89,local,Medium-Range
skill_seq,103,89,local,Medium-Range
args,104,89,local,Medium-Range
tf,106,20,library,Long-Range
skill_seq,106,89,local,Medium-Range
skill_seq,107,106,local,Short-Range
skill_seq,109,107,local,Short-Range
tf,109,20,library,Long-Range
skill_seq,110,109,local,Short-Range
args,111,89,local,Medium-Range
tf,113,20,library,Long-Range
skill_seq,113,89,local,Short-Range
skill_seq,114,113,local,Short-Range
skill_seq,116,114,local,Short-Range
tf,116,20,library,Long-Range
args,116,89,local,Medium-Range
skill_seq,117,116,local,Short-Range
args,119,89,local,Medium-Range
model,133,122,local,Medium-Range
layer,134,133,loop,Short-Range
tf,134,20,library,Long-Range
tf,135,20,library,Long-Range
layer,135,133,loop,Short-Range
reg,136,132,local,Short-Range
tf,136,20,library,Long-Range
