reason_category,usage_line
If-else Reasoning,47
Lambda_Expressions,83
If-else Reasoning,98
If-else Reasoning,102
If-else Reasoning,104
If-else Reasoning,111
If-else Reasoning,119
Define Stop Criteria,133
If-else Reasoning,134
Define Stop Criteria,192
If-else Reasoning,210
If-else Reasoning,213
List_Comprehension,234
List_Comprehension,235
Define Stop Criteria,243
If-else Reasoning,253
If-else Reasoning,254
If-else Reasoning,257
If-else Reasoning,260
Define Stop Criteria,264
List_Comprehension,276
Define Stop Criteria,281
Define Stop Criteria,283
If-else Reasoning,288
If-else Reasoning,292
If-else Reasoning,294
If-else Reasoning,300
Define Stop Criteria,326
If-else Reasoning,334
If-else Reasoning,337
If-else Reasoning,340
Define Stop Criteria,345
List_Comprehension,349
List_Comprehension,353
If-else Reasoning,413
If-else Reasoning,417
If-else Reasoning,479
If-else Reasoning,483
If-else Reasoning,484
If-else Reasoning,485
If-else Reasoning,486
If-else Reasoning,491
If-else Reasoning,546
If-else Reasoning,549
If-else Reasoning,554
If-else Reasoning,570
If-else Reasoning,589
If-else Reasoning,592
Define Stop Criteria,606
If-else Reasoning,618
Generator_Expressions,618
Define Stop Criteria,619
If-else Reasoning,622
If-else Reasoning,630
Define Stop Criteria,636
If-else Reasoning,638
Define Stop Criteria,639
Define Stop Criteria,642
If-else Reasoning,647
If-else Reasoning,653
Define Stop Criteria,668
If-else Reasoning,669
Define Stop Criteria,672
Define Stop Criteria,706
If-else Reasoning,709
Define Stop Criteria,716
If-else Reasoning,720
If-else Reasoning,750
If-else Reasoning,753
If-else Reasoning,866
If-else Reasoning,871
If-else Reasoning,873
If-else Reasoning,875
If-else Reasoning,878
If-else Reasoning,885
If-else Reasoning,921
If-else Reasoning,924
Pattern-Based Completion,924
If-else Reasoning,927
Pattern-Based Completion,927
If-else Reasoning,931
If-else Reasoning,935
If-else Reasoning,940
If-else Reasoning,983
Define Stop Criteria,985
