reason_category,usage_line
If Condition,47
If Body,48
Lambda_Expressions,83
If Condition,98
If Body,99
If Body,100
If Condition,102
If Body,103
Elif Condition,104
Elif Body,105
Elif Body,106
Elif Body,107
Elif Body,108
Elif Body,109
Elif Body,110
Elif Condition,111
Elif Body,112
Elif Body,113
Elif Body,114
Elif Body,115
Elif Body,116
Elif Body,117
Else Reasoning,118
Else Reasoning,119
Define Stop Criteria,133
Loop Body,134
If Condition,134
Loop Body,135
If Body,135
Loop Body,136
If Body,136
Define Stop Criteria,192
Loop Body,193
If Condition,210
If Body,211
Else Reasoning,212
Else Reasoning,213
List_Comprehension,234
List_Comprehension,235
Define Stop Criteria,243
Loop Body,244
If Condition,253
If Body,254
If Condition,254
If Body,255
If Body,266
Else Reasoning,256
If Body,257
Else Reasoning,257
If Body,258
Else Reasoning,259
Else Reasoning,260
Define Stop Criteria,264
Loop Body,265
List_Comprehension,276
Define Stop Criteria,281
Loop Body,282
Loop Body,283
Define Stop Criteria,283
Loop Body,284
Loop Body,285
If Condition,288
If Body,289
If Condition,292
If Body,193
Elif Condition,294
Elif Body,295
Elif Body,296
Elif Body,297
Elif Body,298
Else Reasoning,299
Else Reasoning,300
Define Stop Criteria,326
Loop Body,327
If Condition,334
If Body,335
If Condition,337
If Body,338
If Condition,340
Define Stop Criteria,345
Loop Body,346
List_Comprehension,349
List_Comprehension,353
If Condition,413
If Body,414
If Body,415
Else Reasoning,416
Else Reasoning,
If-else Reasoning,417
If-else Reasoning,479
If-else Reasoning,483
If-else Reasoning,484
If-else Reasoning,485
If-else Reasoning,486
If-else Reasoning,491
If-else Reasoning,546
If-else Reasoning,549
If-else Reasoning,554
If-else Reasoning,570
If-else Reasoning,589
If-else Reasoning,592
Define Stop Criteria,606
If-else Reasoning,618
Generator_Expressions,618
Define Stop Criteria,619
If-else Reasoning,622
If-else Reasoning,630
Define Stop Criteria,636
If-else Reasoning,638
Define Stop Criteria,639
Define Stop Criteria,642
If-else Reasoning,647
If-else Reasoning,653
Define Stop Criteria,668
If-else Reasoning,669
Define Stop Criteria,672
Define Stop Criteria,706
If-else Reasoning,709
Define Stop Criteria,716
If-else Reasoning,720
If-else Reasoning,750
If-else Reasoning,753
If-else Reasoning,866
If-else Reasoning,871
If-else Reasoning,873
If-else Reasoning,875
If-else Reasoning,878
If-else Reasoning,885
If-else Reasoning,921
If-else Reasoning,924
Pattern-Based Completion,924
If-else Reasoning,927
Pattern-Based Completion,927
If-else Reasoning,931
If-else Reasoning,935
If-else Reasoning,940
If-else Reasoning,983
Define Stop Criteria,985
