var_name,usage_line,def_line,scope_type,range_type
pd,20,1,library,Medium-Range
PCA,22,4,library,Medium-Range
pca,23,22,local,Short-Range
norm_ret_df,23,20,local,Short-Range
pd,24,1,library,Medium-Range
beta,24,23,local,Short-Range
df_beta,25,24,local,Short-Range
stock_pca,26,25,local,Short-Range
preprocessing,29,8,library,Medium-Range
stock_pca,29,25,local,Short-Range
DBSCAN,33,6,library,Medium-Range
dbscan,34,33,local,Short-Range
X,34,29,local,Short-Range
dbscan,35,33,local,Short-Range
labels,36,35,local,Short-Range
labels,37,35,local,Short-Range
df_beta,40,24,local,Medium-Range
labels,40,35,local,Short-Range
df_beta,41,24,local,Medium-Range
norm_ret_df,42,20,local,Medium-Range
df_beta,43,42,local,Short-Range
df_beta,44,42,local,Short-Range
np,47,2,library,Long-Range
n_clusters_,47,36,local,Medium-Range
k_list,48,47,local,Short-Range
k_list,50,47,local,Short-Range
d,51,49,local,Short-Range
k,51,50,loop,Short-Range
pd,51,1,library,Long-Range
d,52,49,local,Short-Range
k,52,50,loop,Short-Range
df_beta,52,42,local,Short-Range
d,54,49,local,Short-Range
d,55,49,local,Short-Range
d,56,49,local,Short-Range
d,57,49,local,Short-Range
d,58,49,local,Short-Range
KMeans,62,9,library,Long-Range
kmeans,63,62,local,Short-Range
X,63,29,local,Long-Range
kmeans,64,62,local,Short-Range
X,64,29,local,Long-Range
kmeans,65,62,local,Short-Range
label_kmeans,66,64,local,Short-Range
center_kmeans,67,65,local,Short-Range
AgglomerativeClustering,72,10,library,Long-Range
clusters,72,71,local,Short-Range
hc,73,72,local,Short-Range
X,73,29,local,Long-Range
labels_hc,74,73,local,Short-Range
d,79,49,local,Medium-Range
norm_ret_df,80,20,local,Long-Range
cluster1_asset_list,80,79,local,Short-Range
clusters_norm_ret_df,81,80,local,Short-Range
clusters_norm_ret_df,84,80,local,Short-Range
itertools,87,12,library,Long-Range
cluster1_asset_list,87,79,local,Short-Range
pair_order_list,88,87,local,Short-Range
pairs,92,88,local,Short-Range
asset1_list,93,89,local,Short-Range
pairs,93,88,local,Short-Range
i,93,92,loop,Short-Range
asset2_list,94,90,local,Short-Range
pairs,94,88,local,Short-Range
i,94,92,loop,Short-Range
LA,96,15,library,Long-Range
cumulative_norm_ret,96,84,local,Medium-Range
asset1_list,96,89,local,Short-Range
i,96,92,loop,Short-Range
asset2_list,96,90,local,Short-Range
euclidean_distance_list,97,91,local,Short-Range
dist,97,96,local,Short-Range
asset1_list,99,89,local,Short-Range
asset2_list,99,90,local,Short-Range
pairs,101,88,local,Medium-Range
euclidean_distance_list,101,91,local,Short-Range
sdd_list,102,101,local,Short-Range
x,102,102,lambda,Short-Range
sdd_list,110,101,local,Short-Range
sdd1,111,108,local,Short-Range
sdd_list,111,101,local,Short-Range
i,111,110,loop,Short-Range
sdd2,112,109,local,Short-Range
sdd_list,112,101,local,Medium-Range
i,112,110,loop,Short-Range
sdd_list,119,101,local,Medium-Range
sdd1,120,108,local,Medium-Range
i,120,119,loop,Short-Range
sdd2,121,109,local,Medium-Range
i,121,119,loop,Short-Range
s1,123,120,local,Short-Range
selected_stocks,123,114,local,Short-Range
s2,123,121,local,Short-Range
selected_stocks,124,114,local,Short-Range
s1,124,120,local,Short-Range
selected_stocks,125,114,local,Medium-Range
s2,125,121,local,Short-Range
s1,126,120,local,Short-Range
s2,126,121,local,Short-Range
selected_pairs_messd,127,115,local,Medium-Range
pair,127,126,local,Short-Range
selected_pairs_messd,129,115,local,Medium-Range
math,129,13,library,Long-Range
cluster1_asset_list,129,79,local,Long-Range
selected_stocks,132,114,local,Medium-Range
selected_stocks,133,114,local,Medium-Range
selected_pairs_messd,135,115,local,Medium-Range
pairs,142,88,local,Long-Range
pearsonr,143,16,library,Long-Range
clusters_norm_ret_df,143,80,local,Long-Range
pairs,143,88,local,Long-Range
i,143,142,loop,Short-Range
pearson_corr_list,144,140,local,Short-Range
corr,144,143,local,Short-Range
pairs,147,88,local,Long-Range
pearson_corr_list,147,140,local,Short-Range
sort_corr_list,148,147,local,Short-Range
x,148,148,lambda,Short-Range
sort_corr_list,152,147,local,Short-Range
sdd1,153,150,local,Short-Range
sort_corr_list,153,147,local,Short-Range
i,153,152,loop,Short-Range
sdd2,154,151,local,Short-Range
sort_corr_list,154,147,local,Short-Range
i,154,152,loop,Short-Range
sort_corr_list,161,147,local,Medium-Range
sdd1,162,150,local,Medium-Range
i,162,161,loop,Short-Range
sdd2,163,151,local,Medium-Range
i,163,161,loop,Short-Range
s1,165,162,local,Short-Range
selected_stocks,165,156,local,Short-Range
s2,165,163,local,Short-Range
selected_stocks,166,156,local,Short-Range
s1,166,162,local,Short-Range
selected_stocks,167,156,local,Medium-Range
s2,167,163,local,Short-Range
s1,168,162,local,Short-Range
s2,168,163,local,Short-Range
selected_pairs_corr,169,157,local,Medium-Range
pair,169,168,local,Short-Range
selected_pairs_corr,171,157,local,Medium-Range
math,171,13,library,Long-Range
cluster1_asset_list,171,79,local,Long-Range
selected_stocks,174,156,local,Medium-Range
selected_stocks,175,156,local,Medium-Range
selected_pairs_corr,177,157,local,Medium-Range
np,181,2,library,Long-Range
pairs,182,88,local,Long-Range
coint,183,17,library,Long-Range
np,183,2,library,Long-Range
clusters_norm_ret_df,183,80,local,Long-Range
pairs,183,88,local,Long-Range
i,183,182,loop,Short-Range
pvalue,185,183,local,Short-Range
confidence_level,185,184,local,Short-Range
coint_pairs,186,180,local,Short-Range
pairs,186,88,local,Long-Range
i,186,182,loop,Short-Range
coint_pairs,187,180,local,Short-Range
