var_name,usage_line,def_line,scope_type,range_type
warnings,15,12,library,Short-Range
SettingWithCopyWarning,15,13,library,Short-Range
os,18,1,library,Medium-Range
os,20,1,library,Medium-Range
current_dir,20,18,local,Short-Range
pd,23,2,library,Medium-Range
BANK_PATH,23,20,local,Short-Range
pd,24,2,library,Medium-Range
bank,24,23,local,Short-Range
df,25,24,local,Short-Range
df,26,25,local,Short-Range
pd,27,2,library,Medium-Range
dummy,27,26,local,Short-Range
dummy,28,27,local,Short-Range
dataset,33,32,local,Short-Range
dummy,34,27,local,Short-Range
dataset,35,33,local,Short-Range
train_test_split,36,6,library,Medium-Range
X,36,34,local,Short-Range
y,36,35,local,Short-Range
x_train,37,36,local,Short-Range
y_train,37,36,local,Short-Range
x_test,37,36,local,Short-Range
y_test,37,36,local,Short-Range
get_naive_dataset,39,32,function,Short-Range
df,39,25,local,Medium-Range
x_train,41,39,local,Short-Range
x_test,42,39,local,Short-Range
x_train,44,39,local,Short-Range
y_train,45,39,local,Short-Range
x_test,46,39,local,Short-Range
y_test,47,39,local,Short-Range
GaussianNB,50,7,library,Long-Range
gnb,51,50,local,Short-Range
x_train,51,39,local,Short-Range
y_train,51,39,local,Short-Range
x_test,51,39,local,Short-Range
x_test,54,39,local,Short-Range
test_df,55,54,local,Short-Range
test_df,56,55,local,Short-Range
pd,56,2,library,Long-Range
gnb_pred,56,51,local,Short-Range
test_df,57,56,local,Short-Range
test_df,58,57,local,Short-Range
confusion_matrix,61,8,library,Long-Range
test_df,61,57,local,Short-Range
confusion_mat,62,61,local,Short-Range
confusion_mat,64,61,local,Short-Range
accuracy_naive_bayes,65,64,local,Short-Range
test_df,68,57,local,Medium-Range
x_test,69,39,local,Medium-Range
x_test,70,39,local,Medium-Range
x_test,71,39,local,Medium-Range
gnb,74,50,local,Medium-Range
x_train,74,39,local,Medium-Range
y_train,74,39,local,Medium-Range
test_single,74,70,local,Short-Range
test_single,75,70,local,Short-Range
y_test,76,39,local,Short-Range
test_df,76,75,local,Short-Range
test_df,77,76,local,Short-Range
pd,77,2,library,Long-Range
gnb_pred_single,77,74,local,Short-Range
test_df,78,77,local,Short-Range
confusion_matrix,79,8,library,Long-Range
test_df,79,78,local,Short-Range
confusion_matrix_single,80,79,local,Short-Range
confusion_matrix_single,81,79,local,Short-Range
accuracy_naive_bayes_single,82,81,local,Short-Range
gnb,85,50,local,Long-Range
x_train,85,39,local,Medium-Range
y_train,85,39,local,Medium-Range
test_married,85,69,local,Medium-Range
test_married,86,69,local,Medium-Range
test_df,87,86,local,Short-Range
y_test,87,39,local,Short-Range
test_df,88,86,local,Short-Range
pd,88,2,library,Long-Range
gnb_pred_married,88,85,local,Short-Range
test_df,88,87,local,Short-Range
test_df,89,88,local,Short-Range
confusion_matrix,90,8,library,Long-Range
test_df,90,86,local,Short-Range
confusion_matrix_married,91,90,local,Short-Range
confusion_matrix_married,92,90,local,Short-Range
accuracy_naive_bayes_married,93,92,local,Short-Range
gnb,96,50,local,Long-Range
x_train,96,39,local,Medium-Range
y_train,96,39,local,Medium-Range
test_divorced,96,71,local,Medium-Range
test_divorced,97,71,local,Medium-Range
test_df,98,97,local,Short-Range
y_test,98,39,local,Medium-Range
test_df,99,98,local,Short-Range
pd,99,2,library,Long-Range
gnb_pred_divorced,99,96,local,Short-Range
test_df,99,98,local,Short-Range
test_df,100,99,local,Short-Range
confusion_matrix,101,8,library,Long-Range
test_df,101,100,local,Short-Range
confusion_matrix_divorced,102,101,local,Short-Range
confusion_matrix_divorced,103,101,local,Short-Range
accuracy_naive_bayes_divorced,104,103,local,Short-Range
confusion_matrix_married,108,90,local,Medium-Range
PR_Naive_Bayes_married,109,108,local,Short-Range
confusion_matrix_single,110,79,local,Long-Range
PR_Naive_Bayes_single,111,110,local,Short-Range
confusion_matrix_divorced,112,101,local,Medium-Range
PR_Naive_Bayes_divorced,113,112,local,Short-Range
confusion_matrix_married,117,90,local,Medium-Range
TPR_Naive_Bayes_married,118,117,local,Short-Range
confusion_matrix_single,119,79,local,Long-Range
TPR_Naive_Bayes_single,120,119,local,Short-Range
confusion_matrix_divorced,121,101,local,Medium-Range
TPR_Naive_Bayes_divorced,122,121,local,Short-Range
confusion_matrix_married,127,90,local,Long-Range
FNR_Naive_Bayes_married,128,127,local,Short-Range
confusion_matrix_single,129,79,local,Long-Range
FNR_Naive_Bayes_single,130,129,local,Short-Range
confusion_matrix_divorced,131,101,local,Medium-Range
FNR_Naive_Bayes_divorced,132,131,local,Short-Range
x_train,135,39,local,Medium-Range
x_train_unawareness,136,135,local,Short-Range
x_train_unawareness,137,136,local,Short-Range
x_train_unawareness,138,137,local,Short-Range
x_test,141,39,local,Long-Range
x_test_unawareness,142,141,local,Short-Range
x_test_unawareness,143,141,local,Short-Range
x_test_unawareness,144,141,local,Short-Range
x_test_married,146,142,local,Short-Range
x_test_married,147,146,local,Short-Range
x_test_married,148,147,local,Short-Range
x_test_single,150,143,local,Short-Range
x_test_single,151,150,local,Short-Range
x_test_single,152,151,local,Short-Range
x_test_divorced,154,144,local,Short-Range
x_test_divorced,155,154,local,Medium-Range
x_test_divorced,156,155,local,Medium-Range
gnb,159,50,local,Long-Range
x_train_unawareness,159,135,local,Medium-Range
y_train,159,39,local,Long-Range
x_test_single,159,152,local,Medium-Range
x_test_single,160,152,local,Medium-Range
test_df,161,160,local,Short-Range
y_test,161,39,local,Long-Range
test_df,162,161,local,Short-Range
pd,162,2,library,Long-Range
gnb_pred_single,162,159,local,Short-Range
test_df,163,162,local,Short-Range
confusion_matrix,165,8,library,Long-Range
test_df,165,163,local,Short-Range
confusion_matrix_single,166,165,local,Short-Range
confusion_matrix_single,167,165,local,Short-Range
accuracy_naive_bayes_single,168,167,local,Short-Range
gnb,171,50,local,Long-Range
x_train_unawareness,171,138,local,Long-Range
y_train,171,39,local,Long-Range
x_test_married,171,148,local,Medium-Range
x_test_married,172,148,local,Medium-Range
test_df,173,172,local,Short-Range
y_test,173,39,local,Long-Range
test_df,174,173,local,Short-Range
pd,174,2,library,Long-Range
gnb_pred_married,174,171,local,Short-Range
test_df,175,174,local,Short-Range
confusion_matrix,176,8,library,Long-Range
test_df,176,175,local,Short-Range
confusion_matrix_married,177,176,local,Short-Range
confusion_matrix_married,178,176,local,Short-Range
accuracy_naive_bayes_married,179,178,local,Short-Range
gnb,182,50,local,Long-Range
x_train_unawareness,182,138,local,Long-Range
y_train,182,39,local,Long-Range
x_test_divorced,182,156,local,Long-Range
x_test_divorced,183,156,local,Long-Range
test_df,184,183,local,Short-Range
y_test,184,39,local,Long-Range
test_df,185,184,local,Short-Range
pd,185,2,library,Long-Range
gnb_pred_divorced,185,182,local,Short-Range
test_df,186,185,local,Short-Range
confusion_matrix,187,8,library,Long-Range
test_df,187,186,local,Short-Range
confusion_matrix_divorced,188,187,local,Short-Range
confusion_matrix_divorced,189,187,local,Short-Range
accuracy_naive_bayes_divorced,190,189,local,Short-Range
RandomForestClassifier,193,9,library,Long-Range
rf,194,193,local,Short-Range
x_train,194,39,local,Long-Range
y_train,194,39,local,Long-Range
x_test,194,39,local,Long-Range
x_test,195,39,local,Long-Range
test_df,196,195,local,Short-Range
y_test,196,39,local,Long-Range
test_df,197,196,local,Short-Range
pd,197,2,library,Long-Range
rf_pred,197,194,local,Short-Range
test_df,197,196,local,Short-Range
test_df,198,197,local,Short-Range
confusion_matrix,199,8,library,Long-Range
test_df,199,198,local,Short-Range
confusion_mat,200,199,local,Short-Range
confusion_mat,202,199,local,Short-Range
accuracy_rf,203,202,local,Short-Range
x_test,206,39,local,Long-Range
x_test,207,39,local,Long-Range
x_test,208,39,local,Long-Range
rf,211,193,local,Medium-Range
test_single,211,207,local,Short-Range
x_train,211,39,local,Long-Range
y_train,211,39,local,Long-Range
test_single,212,207,local,Short-Range
test_df,213,212,local,Short-Range
y_test,213,39,local,Long-Range
test_df,214,213,local,Short-Range
pd,214,2,library,Long-Range
rf_pred_single,214,211,local,Short-Range
test_df,215,214,local,Short-Range
confusion_matrix,216,8,library,Long-Range
test_df,216,215,local,Short-Range
confusion_matrix_single,217,216,local,Short-Range
confusion_matrix_single,218,216,local,Short-Range
accuracy_rf_single,219,218,local,Short-Range
rf,222,193,local,Medium-Range
x_train,222,39,local,Long-Range
y_train,222,39,local,Long-Range
test_married,222,206,local,Medium-Range
test_married,223,206,local,Medium-Range
test_df,224,223,local,Short-Range
test_df,225,224,local,Short-Range
pd,225,2,library,Long-Range
rf_pred_married,225,222,local,Short-Range
test_df,226,225,local,Short-Range
confusion_matrix,227,8,library,Long-Range
test_df,227,226,local,Short-Range
confusion_matrix_married,228,227,local,Short-Range
confusion_matrix_married,229,227,local,Short-Range
accuracy_rf_married,230,229,local,Short-Range
rf,233,193,local,Long-Range
x_train,233,39,local,Long-Range
y_train,233,39,local,Long-Range
test_divorced,233,208,local,Medium-Range
