var_name,usage_line,def_line,scope_type,range_type
Image,13,1,library,Medium-Range
Image,14,1,library,Medium-Range
np,15,3,library,Medium-Range
A,15,13,local,Short-Range
np,16,3,library,Medium-Range
B,16,14,local,Short-Range
A_array,17,15,local,Short-Range
B_array,17,16,local,Short-Range
A_array,18,15,local,Short-Range
B_array,19,16,local,Short-Range
end_size,23,21,local,Short-Range
A_array,23,15,local,Short-Range
B_array,23,16,local,Short-Range
np,24,3,library,Medium-Range
A_array,24,15,local,Short-Range
B_array,24,16,local,Short-Range
cv2,26,2,library,Medium-Range
A_array,26,15,local,Medium-Range
end_size,26,21,local,Short-Range
img_array,29,28,local,Short-Range
end_size,29,28,local,Short-Range
x_start,30,29,local,Short-Range
end_size,30,28,local,Short-Range
img_array,32,28,local,Short-Range
end_size,32,28,local,Short-Range
y_start,33,32,local,Short-Range
end_size,33,28,local,Short-Range
img_array,35,28,local,Short-Range
x_start,35,29,local,Short-Range
x_end,35,30,local,Short-Range
y_start,35,32,local,Short-Range
y_end,35,33,local,Short-Range
img_resized,36,35,local,Short-Range
center_crop,37,28,function,Short-Range
B_array,37,16,local,Medium-Range
end_size,37,21,local,Medium-Range
B_resized,38,37,local,Short-Range
np,39,3,library,Long-Range
A_resized,39,26,local,Medium-Range
B_resized,39,37,local,Short-Range
B_resized,41,37,local,Short-Range
A_resized,42,26,local,Medium-Range
row,43,42,loop,Short-Range
np,44,3,library,Long-Range
B_resized,44,37,local,Short-Range
row,44,42,loop,Short-Range
np,46,3,library,Long-Range
A_resized,46,26,local,Medium-Range
row,46,42,loop,Short-Range
D,47,41,local,Short-Range
Image,53,1,library,Long-Range
np,54,3,library,Long-Range
pepper_img,54,53,local,Short-Range
np,56,3,library,Long-Range
np,57,3,library,Long-Range
np,58,3,library,Long-Range
pepper,58,54,local,Short-Range
lower_yellow,58,56,local,Short-Range
upper_yellow,58,57,local,Short-Range
np,60,3,library,Long-Range
mask,60,58,local,Short-Range
pepper,62,54,local,Short-Range
result,63,60,local,Short-Range
cv2,65,2,library,Long-Range
cv2,66,2,library,Long-Range
img,66,65,local,Short-Range
np,68,3,library,Long-Range
np,69,3,library,Long-Range
np,70,3,library,Long-Range
hsv_img,70,66,local,Short-Range
lower_yellow,70,68,local,Short-Range
upper_yellow,70,69,local,Short-Range
np,72,3,library,Long-Range
mask,72,70,local,Short-Range
hsv_img,74,66,local,Short-Range
result_hsv,75,72,local,Short-Range
np,83,3,library,Long-Range
dx,83,82,local,Short-Range
dy,83,82,local,Short-Range
translation_matrix,84,83,local,Short-Range
radians,87,86,local,Short-Range
np,88,3,library,Long-Range
np,89,3,library,Long-Range
angle,89,88,local,Short-Range
np,90,3,library,Long-Range
angle,90,88,local,Short-Range
np,91,3,library,Long-Range
costheta,91,89,local,Short-Range
sintheta,91,90,local,Short-Range
rotation_matrix,92,91,local,Short-Range
radians,95,94,local,Short-Range
np,96,3,library,Long-Range
np,97,3,library,Long-Range
angle,97,94,local,Short-Range
np,98,3,library,Long-Range
angle,98,94,local,Short-Range
np,100,3,library,Long-Range
