reason_category,usage_line
If Condition,47
If Body,48
Lambda_Expressions,83
If Condition,98
If Body,99
If Body,100
If Condition,102
If Body,103
Elif Condition,104
Elif Body,105
Elif Body,106
Elif Body,107
Elif Body,108
Elif Body,109
Elif Body,110
Elif Condition,111
Elif Body,112
Elif Body,113
Elif Body,114
Elif Body,115
Elif Body,116
Elif Body,117
Else Reasoning,118
Else Reasoning,119
Define Stop Criteria,133
Loop Body,134
If Condition,134
Loop Body,135
If Body,135
Loop Body,136
If Body,136
Define Stop Criteria,192
Loop Body,193
If Condition,210
If Body,211
Else Reasoning,212
Else Reasoning,213
List_Comprehension,234
List_Comprehension,235
Define Stop Criteria,243
Loop Body,244
If Condition,253
If Body,254
If Condition,254
If Body,255
If Body,256
Else Reasoning,256
If Body,257
Else Reasoning,257
If Body,258
Else Reasoning,259
Else Reasoning,260
Define Stop Criteria,264
Loop Body,265
List_Comprehension,276
Define Stop Criteria,281
Loop Body,282
Loop Body,283
Define Stop Criteria,283
Loop Body,284
Loop Body,285
If Condition,288
If Body,289
If Condition,292
If Body,293
Elif Condition,294
Elif Body,295
Elif Body,296
Elif Body,297
Elif Body,298
Else Reasoning,299
Else Reasoning,300
Define Stop Criteria,326
Loop Body,327
If Condition,334
If Body,335
If Condition,337
If Body,338
If Condition,340
If Body,341
If Body,342
If Body,343
If Body,344
Define Stop Criteria,345
If Body,345
Loop Body,346
If Body,346
List_Comprehension,349
List_Comprehension,353
If Condition,413
If Body,414
If Body,415
Else Reasoning,416
Else Reasoning,417
If Condition,479
If Body,480
Else Reasoning,482
Else Reasoning,483
Else Reasoning,484
Else Reasoning,485
Else Reasoning,486
If Condition,491
If Body,492
If Body,493
If Condition,546
If Body,547
If Condition,549
If Body,550
If Condition,554
If Body,555
If Body,556
If Body,557
If Body,558
If Body,559
If Body,560
If Body,561
If Body,562
If Body,563
If Condition,570
If Body,571
If Condition,589
If Body,590
Else Reasoning,591
Else Reasoning,592
Define Stop Criteria,606
Loop Body,607
If Condition,618
Generator_Expressions,618
If Body,619
Define Stop Criteria,619
If Body,620
Loop Body,620
If Body,621
Loop Body,621
If Condition,621
If Body,622
Loop Body,622
If Body,623
Loop Body,623
If Body,624
Loop Body,624
If Body,625
Loop Body,625
If Body,626
Loop Body,626
If Body,627
Loop Body,627
If Body,628
If Body,629
If Body,630
If Condition,630
If Body,631
If Body,632
If Body,633
If Body,634
If Body,635
If Body,636
Define Stop Criteria,636
If Body,637
Loop Body,637
If Body,638
Loop Body,638
If Condition,638
If Body,639
Loop Body,639
Define Stop Criteria,639
If Body,640
Loop Body,640
If Body,641
If Body,642
Define Stop Criteria,642
If Body,643
Loop Based,643
If Body,644
If Body,645
Elif Condition,647
Elif Body,648
Elif Body,649
Elif Body,650
Else Reasoning,652
Else Reasoning,653
Define Stop Criteria,668
If Condition,669
Loop Body,669
Loop Body,670
If Body,670
Loop Body,671
Define Stop Criteria,672
Loop Body, 673
Define Stop Criteria,706
Loop Body,707
Loop Body,708
Loop Body,709
If Condition,709
Loop Body,710
If Body,710
Loop Body,711
If Body,711
Loop Body,712
Loop Body,713
Loop Body,714
Loop Body,715
Loop Body,716
Define Stop Criteria,716
Loop Body,717
Loop Body,718
Loop Body,719
Loop Body,720
If Condition,720
Loop Body,721
If Body,721
Loop Body,722
If Body,722
Loop Body,723
If Body,723
Loop Body,724
If Body,724
Loop Body,725
If Body,725
Loop Body,726
Loop Body,727
Loop Body,728
Loop Body,729
If Condition,750
If Body,751
Else Reasoning,752
Else Reasoning,753
If Condition,866
If Body,867
If Body,868
If Condition,871
If Body,872
If Body,873
If Condition,873
If Body,874
If Body,875
Elif Condition,875
If Body,876
Elif Body,876
If Body,877
Else Reasoning,877
If Body,878
Else Reasoning,878
If Condition,885
If Body,886
If Condition,921
If Body,922
If Body,923
Elif Condition,924
Elif Body,925
Elif Body,926
Elif Condition,927
Elif Body,928
Elif Body,929
Else Reasoning,930
Else Reasoning,931
If Condition,935
If Body,936
If Body,937
If Body,938
If Condition,940
If Body,941
If Body,942
If Body,943
If Condition,983
If Body,984
If Body,985
Define Stop Criteria,985
If Body,986
Loop Body,986

