var_name,usage_line,def_line,scope_type,range_type
x,4,4,generator_exp,Short-Range
y,4,4,generator_exp,Short-Range
a,4,3,local,Short-Range
b,4,3,local,Short-Range
row,8,8,list_comp,Short-Range
A,8,7,local,Short-Range
j,8,7,local,Short-Range
j,12,12,list_comp,Short-Range
A,12,11,local,Short-Range
column,12,7,function,Short-Range
c,16,16,list_comp,Short-Range
col,16,15,local,Short-Range
i,20,20,list_comp,Short-Range
x,20,20,list_comp,Short-Range
column,20,19,local,Short-Range
tableau,21,19,local,Short-Range
pivotRow,21,20,local,Short-Range
tableau,25,24,local,Short-Range
x,26,26,generator_exp,Short-Range
lastRow,26,25,local,Short-Range
L,30,29,local,Short-Range
heapq,32,1,library,Long-Range
L,32,29,local,Short-Range
x,32,32,lambda,Short-Range
x,33,32,local,Short-Range
y,33,32,local,Short-Range
i,37,37,list_comp,Short-Range
rowStart,37,36,local,Short-Range
numRows,37,36,local,Short-Range
j,37,37,list_comp,Short-Range
numCols,37,36,local,Short-Range
val,37,36,local,Short-Range
gtThreshold,46,39,local,Short-Range
newVars,47,41,local,Short-Range
gtThreshold,47,39,local,Short-Range
numRows,48,42,local,Short-Range
gtThreshold,48,39,local,Short-Range
ltThreshold,50,39,local,Medium-Range
newVars,51,41,local,Short-Range
ltThreshold,51,39,local,Medium-Range
numRows,52,42,local,Short-Range
ltThreshold,52,39,local,Medium-Range
eqThreshold,55,39,local,Medium-Range
numRows,56,42,local,Medium-Range
eqThreshold,56,39,local,Medium-Range
maximization,59,39,local,Medium-Range
x,60,60,list_comp,Short-Range
cost,60,39,local,Medium-Range
newVars,63,41,local,Medium-Range
cost,64,39,local,Medium-Range
equalities,64,39,local,Medium-Range
eqThreshold,64,39,local,Medium-Range
cost,67,39,local,Medium-Range
newVars,67,41,local,Medium-Range
greaterThans,72,39,local,Long-Range
gtThreshold,72,39,local,Long-Range
lessThans,72,39,local,Long-Range
ltThreshold,72,39,local,Long-Range
equalities,72,39,local,Long-Range
eqThreshold,72,39,local,Long-Range
oldConstraints,76,72,local,Short-Range
constraints,78,68,local,Short-Range
c,78,78,list_comp,Short-Range
r,78,78,list_comp,Short-Range
constraintList,78,76,loop,Short-Range
identity,78,36,function,Long-Range
numRows,78,42,local,Long-Range
newVars,78,41,local,Long-Range
coefficient,78,76,loop,Short-Range
offset,78,73,local,Short-Range
threshold,80,69,local,Medium-Range
oldThreshold,80,76,loop,Short-Range
offset,82,73,local,Short-Range
oldThreshold,82,76,loop,Short-Range
newCost,84,67,local,Medium-Range
constraints,84,68,local,Medium-Range
threshold,84,69,local,Medium-Range
row,96,96,list_comp,Short-Range
x,96,96,list_comp,Short-Range
A,96,94,local,Short-Range
b,96,94,local,Short-Range
tableau,97,96,local,Short-Range
ci,97,97,list_comp,Short-Range
c,97,94,local,Short-Range
tableau,99,97,local,Short-Range
row,100,99,loop,Short-Range
canImprove,104,24,function,Long-Range
tableau,104,97,local,Short-Range
i,106,106,list_comp,Short-Range
x,106,106,list_comp,Short-Range
tableau,106,97,local,Short-Range
column_choices,107,106,local,Short-Range
a,107,107,lambda,Short-Range
row,110,110,generator_exp,Short-Range
tableau,110,97,local,Medium-Range
column,110,107,local,Short-Range
i,114,114,list_comp,Short-Range
r,114,114,list_comp,Short-Range
tableau,114,97,local,Medium-Range
column,114,107,local,Short-Range
moreThanOneMin,116,29,function,Long-Range
quotients,116,114,local,Short-Range
quotients,120,114,local,Short-Range
x,120,120,lambda,Short-Range
row,123,120,local,Short-Range
column,123,107,local,Medium-Range
pivot,125,123,local,Short-Range
pivot,126,123,local,Short-Range
tableau,127,97,local,Long-Range
i,127,126,local,Short-Range
j,127,126,local,Short-Range
tableau,130,97,local,Long-Range
i,130,126,local,Short-Range
x,130,130,list_comp,Short-Range
pivotDenom,130,127,local,Short-Range
tableau,133,130,local,Short-Range
k,134,133,loop,Short-Range
i,134,126,local,Short-Range
y,135,135,list_comp,Short-Range
tableau,135,130,local,Short-Range
i,135,126,local,Short-Range
k,135,133,loop,Short-Range
j,135,126,local,Short-Range
tableau,136,130,local,Short-Range
k,136,133,loop,Short-Range
x,136,136,list_comp,Short-Range
y,136,136,list_comp,Short-Range
pivotRowMultiple,136,135,local,Short-Range
tableau,138,130,local,Short-Range
row,139,138,loop,Short-Range
transpose,143,11,function,Long-Range
tableau,143,97,local,Long-Range
j,146,146,list_comp,Short-Range
col,146,146,list_comp,Short-Range
columns,146,143,local,Short-Range
isPivotCol,146,15,function,Long-Range
colIndex,149,149,list_comp,Short-Range
indices,149,146,local,Short-Range
variableValueForPivotColumn,149,19,function,Long-Range
tableau,149,97,local,Long-Range
columns,149,143,local,Short-Range
tableau,152,97,local,Long-Range
tableau,154,97,local,Long-Range
primal_solution,154,149,local,Short-Range
objective_value,154,152,local,Short-Range
